1 1 1:1 2:1 4:1 5:1 7:1 8:1 10:1 11:1 13:1 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
144 2 21:2 33:1 39:1 49:8 50:1 67:1 91:1 103:1 122:1 127:2 136:2 197:2 211:1 253:1 258:1 261:1 270:1 277:1 281:2 301:1 317:1 323:1 452:1 567:1 608:1 779:1 780:1 781:5 785:1 786:2 787:2 788:3 789:1 790:1 791:2 792:2 793:1 794:3 795:1 796:1 797:1 798:1 799:2 800:1 801:2 802:1 803:1 804:1 805:1 806:1 807:1 808:1 809:1 810:1 811:2 812:1 813:1 814:1 815:1 816:1 817:1 818:1 819:1 821:1 822:1 823:1 824:1 		nếu phản_đối hôn_nhân đồng_tính tôi là người đầu_tiên làm_việc này thật_sự mà nói 100 người đồng_tính hiện_nay thì được bao_nhiêu người là bị đồng_tính từ nhỏ ? còn bao_nhiêu người là bị dụ_dỗ ? tôi khẳng_định là hơn 95 số người bị đồng_tính là bị dụ_dỗ nhiều người trẻ mới lớn còn bị lơ_mơ về giới_tính hay những người yếu bản_lĩnh bị dụ_dỗ và đã trả thành_đồng tính giới_tính thứ_ba đang gây rất nhiều bức_xúc cho xã_hội hiện_nay nếu_không lên_tiếng cản_ngăn rồi_đây khoảng 10 20 năm nữa thôi giới_tính thứ_ba sẽ chiếm tỉ_lệ rất lớn trong xã_hội chúng_ta mà những người đồng_tính nhiều nhất lại hoạt_động chủ_yếu trong giới nghệ_sĩ như ca_sĩ diễn_viên bọn họ rất dễ khiến cho giới trẻ lầm tưởng và noi theo chúng_ta phải chặn ngay_lập_tức hiện_tượng tệ_hại này 
145 2 83:1 122:1 779:1 825:1 826:1 827:1 828:1 829:1 830:1 		tôi phản_đối nếu hợp_pháp_hoá thì sẽ ảnh_hưởng nghiêm_trọng đền sự tồn_vong của giống_nòi về sau_này 
146 2 831:1 832:1 		đang ảo_tưởng à 
147 2 13:3 21:1 49:1 145:1 247:1 259:2 310:2 317:1 486:1 567:1 680:1 802:1 833:1 834:1 835:1 836:1 837:1 838:1 839:1 		cáu này cần phải tìm_hiểu cho kỹ nếu đã là bảo_vệ vệ thì bảo_vệ khỏi cái gì người bán_dâm có đồng_ý với cách này không nếu_không thì nó là bắt nhốt nói bảo_vệ chỉ là để lách luật thôi tôi không đồng_ý với cách này
148 2 211:1 259:1 		cách này không hay
149 2 42:1 49:4 66:1 76:2 78:2 112:1 128:3 145:1 195:1 259:2 455:1 499:1 521:1 543:1 555:1 589:1 594:1 725:1 840:1 841:1 842:2 843:1 844:1 845:1 846:1 847:1 848:1 849:1 850:1 851:1 852:2 		đọc song thấy buồn quá ước_mơ có được chiếc xe ô_tô của những người trung_lưu việt ngày_càng xa_vời mình dám chắc người đi ô_tô sẽ có cách nghĩ cách làm nhìn xa khác với người đi xe_máy và người đi xe_đạp cứ đà này thấy khả_năng phát_triển nó cứ mờ_mịt quá trời_ơi trời_ơi 
150 2 42:1 50:2 74:1 131:2 189:1 277:1 303:1 333:1 416:1 498:1 555:1 589:1 643:1 853:1 854:1 855:1 856:1 857:1 858:1 859:1 860:2 861:1 862:1 863:1 865:1 		ấp_ủ bao năm cố gòng gánh mua 1 con xe tầm 400 trả_góp đọc xog bài báo thật_sự rất nản đến bao_giờ oto được xem như mua chiec xe_máy như bây_giờ thật_sự rất nản 
151 2 21:1 542:1 862:1 866:1 867:1 		tin_buồn cho thị_trường oto nước_nhà 
152 2 49:1 131:1 195:1 196:1 366:1 578:1 594:1 725:1 842:1 868:1 869:1 		nghĩ tới việc mua được ô_tô ở việt _ nam mà buồn cả người haiz 
153 2 132:1 870:1 871:1 		một mớ hỗn_độn 
154 2 96:1 122:1 252:1 302:1 394:1 404:1 416:1 872:1 873:1 874:1 875:1 876:1 877:1 878:1 879:1 		sinh_viên hết được miễn giảm vé tàu_hỏa nghe mà nghẹn lòng xin_lỗi bố_mẹ đợt lễ này con không về 
155 2 21:1 43:1 112:2 122:2 128:1 131:3 136:1 142:1 168:1 278:1 281:1 302:2 306:1 423:2 441:1 447:2 514:1 590:1 678:1 681:1 720:2 848:1 872:2 874:2 875:1 880:1 881:2 882:1 883:2 884:2 885:1 886:1 887:1 888:1 889:2 890:1 		tại_sao sinh_viên không được miễn_giảm mua vé tàu_hỏa chứ mỗi khi về quê là mình thường đi tàu nhà không có điều_kiện nên vẫn mua vé tàu cho tiết_kiệm mà cũng đâu phải ít sinh_viên đâu bạn_bè mình quê xa khi được về nhà ai cũng mua nếu không_thể giảm nhiều xin hãy giảm ít giờ học_phí tăng cao kinh_khủng tiết_kiệm khoản này khoản kia để còn đóng học chứ ?
156 2 21:1 97:1 136:1 337:1 438:1 514:1 706:1 872:1 891:1 892:1 893:1 894:1 895:1 896:1 		thiết_nghĩ đời_sống sinh_viên của con_em nhà_nông còn vất_vả lắm sao lại không tạo điều_kiện cho các em ấy 
157 2 67:1 594:1 711:1 872:1 897:1 898:1 		buồn vg là sinh_viên nghèo lại càng khổ hơn rồi 
158 2 49:1 76:1 91:1 119:1 136:1 211:1 284:1 551:1 745:1 872:1 880:1 900:1 901:3 902:1 903:1 		tôi thấy vô_lý khi còn phân_loại khuyết_tật là khuyết_tật nặng mới được sinh_viên và người khuyết_tật là những đối_tượng hợp_lý để được miễn_giảm không nên sữa đổi điều này không hay 
159 2 312:1 590:1 872:1 898:1 		sinh_viên đã nghèo rồi mà giờ không được hỗ_trợ nữa 
160 2 122:1 310:1 874:1 875:1 		chuyện về vé tàu_hỏa là không đồng_ý
161 2 21:2 76:1 152:1 337:2 514:1 638:1 848:1 872:1 881:1 893:1 905:1 906:1 907:1 908:1 909:1 910:2 		sinh_viên phần_lớn xa quê và là con_em nông_dân công_nhân không có điều_kiện thế_mà không giảm_giá cho các em í @ @ thấy tội cho các em
162 2 66:1 101:1 136:1 147:1 548:1 681:1 898:1 911:1 912:1 913:1 914:2 915:2 916:1 917:1 918:1 		những mặt_hàng nông_nghiệp như phân thuốc_trừ_sâu bình ỗn được chứ dân đang nghèo mùa_màng thất_bát tại_sao còn đưa gạo làm bình ỗn
163 2 21:1 38:1 360:1 401:1 438:2 874:1 908:1 919:1 920:1 921:1 922:1 923:1 		những cái tốt sao hok duy_trì mà_lại hủy_bỏ là sao giảm_giá vé cho sv là việc_làm thiết_thực mà 
164 2 21:1 122:1 155:1 228:1 254:1 302:1 349:1 359:1 366:1 394:1 438:1 464:1 740:1 771:1 872:1 873:1 874:2 879:1 881:2 883:1 886:1 887:1 898:1 908:1 922:4 924:1 925:1 926:1 927:1 928:1 929:1 930:3 		sinh_viên không được miễn giá vé tàu ntn là không thỏa_đáng đa_số sv đều ở quê ra tp học_tập đa_phần sv là gđ nông nghèo không giảm_giá tàu_xe cho sv về quê các đợt lễ tết và không được học_phí thì tăng vé tàu_xe không giảm thế sv chúng_tôi sao mà đủ tiền tàu_xe 
165 2 132:1 252:1 310:1 625:1 872:1 874:1 880:1 883:1 931:1 932:1 		đồng_ý hết nhưng sinh_viên không được miễn_giảm vé tàu là một vấn_đề cần phải xem_xét lại vì_sao 
166 2 15:1 21:1 78:1 128:1 136:1 277:1 281:2 441:1 447:1 681:1 795:1 873:3 927:1 933:1 935:1 936:1 937:1 938:1 939:1 940:1 941:1 942:1 		ơ trước năm 45 là chống pháp đa_phần tuổi đã cao sức đã yếu còn đi đâu nữa mà miễn với không miễn ? tại_sao không miễn giãm cho tất_cả các thời_kỳ ? buồn_cười quá 
167 2 21:1 38:1 96:1 281:1 328:2 342:1 438:1 501:1 581:1 594:1 706:1 791:1 848:1 872:1 881:1 898:1 943:1 944:1 945:1 946:1 947:1 		buồn thiết chứ không đội mũ_bảo_hiểm cho những bạn trẻ là tốt nên bắt_buộc sinh_viên xa quê nghèo lắm các bác ạ sao các bác nỡ lòng nào ? 
168 2 5:1 39:1 49:1 68:1 113:1 127:1 184:1 251:1 298:1 302:1 312:1 455:2 505:1 558:1 693:1 721:1 726:1 727:1 740:1 872:3 873:2 874:2 875:1 908:1 948:1 949:1 950:1 951:1 952:1 953:1 954:1 956:2 957:1 958:1 959:1 960:1 961:1 962:1 963:1 964:1 965:1 966:1 		sinh_viên không được miễn giảm vé tàu_hỏa là chính_sách chưa phù_hợp để phát_triển đất_nước sinh_viên là những người cần được ưu_tiên hỗ_trợ phát_triển nước gần chúng_ta nhất trung quốc sinh_viên được miễn giảm_giá vé tầu vào hai lần là đi_về nghỉ_hè và nghỉ tết đề_nghị tăng_cường an_ninh tại các khu_vực bến_xe bến_tàu phòng_chống trộm_cắp cướp_giật lắp thiết_bị ghi_hình ghi tiếng và báo_động nhanh tại các khu_vực này 
169 2 249:1 262:1 342:1 967:1 968:1 969:1 970:1 971:1 972:1 		  thay_đổi mã vùng điện_thoại cố_định không khoa_học tí nào
170 2 21:1 253:1 277:1 552:1 745:1 970:1 973:1 974:1 975:1 976:1 977:1 		mệt nhất_là chuyện đổi số điện_thoại mới_đầu năm đã hao_tài_tốn_của cho việc in_ấn giấy_tờ rồi 
171 2 21:1 76:1 211:1 253:1 269:1 275:1 276:1 342:1 635:1 745:1 978:1 		tôi thấy đổi số đt và cho mang thai hộ là không hay chút nào 
172 2 42:1 76:1 249:1 328:1 342:1 967:1 968:2 969:1 970:1 979:1 980:1 981:1 982:1 983:1 		mã vùng điện_thoại thay_đổi kiểu gì mà đọc vào chả thấy khoa_học không biết_mấy bác phân_chia mã theo quy_luật nào nữa
173 2 123:1 129:1 131:1 199:1 254:1 337:1 447:1 593:1 887:1 984:1 985:1 986:1 987:1 		xong tăng lương thì tiền đâu em mua rau thịt ăn đây lại mỳ tôm qua_ngày vậy
174 2 706:1 711:1 		khổ lắm
175 2 350:1 988:1 989:1 		vô_cùng ngang_ngược và trơ_tráo 
176 2 4:1 21:1 43:1 91:1 112:3 197:1 235:1 277:1 374:1 423:2 551:1 552:1 563:1 585:1 588:1 636:1 990:1 991:1 992:1 993:1 994:1 995:1 996:1 		vô_lý nhất_là mình có nhà hợp_pháp chủ_quyền tên của mình mà phải tạm_trú trong nhà mình 2 năm mới được nhập hộ_khẩu thời_gian đó thì biết_bao_nhiêu rắc_rối cho con_cháu xin việc học_hành quyền_lợi bị hạn_chế 
177 2 78:1 128:1 594:1 		buồn quá đi 
178 2 78:1 96:1 199:1 887:1 997:1 998:1 999:1 1000:1 1001:1 		lương thấp quá xăng thì cứ tăng vù_vù nãn lòng công_chức 
179 2 21:1 121:1 220:1 278:1 281:1 543:1 643:1 711:1 852:1 887:4 998:1 1002:1 1003:1 1004:1 1005:1 1006:2 1007:1 		trời_ơi tăng cái nọ lại tăng thêm 1 loạt các thứ khác ? xăng tăng điện tăng kêu lỗ cái khổ của người_dân thì ai kêu cho đây 
180 2 76:1 199:1 404:1 430:1 594:1 613:1 651:1 887:1 1001:1 1009:1 1011:1 1012:1 1013:1 1014:1 		nghe lương tăng mà thấy buồn bởi chẳng thấm_tháp gì so với chi_tiêu tối thiếu hàng tháng của các gia_đình công_chức 
181 2 66:1 199:1 254:1 412:1 416:1 464:1 542:1 558:1 1015:1 1016:1 1017:1 1018:1 1019:1 		lương và giá_cả thị_trường làm thế_nào để đủ tiền nuôi hai đứa con mà không phải vay nợ 
182 2 199:1 329:1 457:1 887:1 		lương ơi đừng tăng nữa 
183 2 281:2 365:1 551:1 585:2 589:1 643:1 906:1 1020:1 1021:1 1022:2 1023:2 1024:2 1025:1 1026:1 1027:1 1028:1 		vô_lý hình_ảnh rạp công_nhân sau khi đập 2 bậc thềm nhưng thay vào đó là 1 dãy xe_máy đậu trên vỉa_hè ? vậy mục_đích của việc đập 2 bậc thềm là gì ?
184 2 211:1 261:1 365:1 543:1 672:1 779:1 1029:1 		tôi phản_đối lấy vỉa_hè kinh_doanh hay làm_việc khác
185 2 91:2 361:1 447:1 590:1 655:1 698:1 1030:1 1031:1 1032:1 1033:1 		ôi không được đâu mới khó_khăn mới dẹp được giờ mà bày ra là tùm_lum liền hà 
186 2 1:1 486:1 487:2 549:1 573:1 779:1 1034:1 1035:1 1036:1 1037:1 		quyết_định thật khó hiểu tôi phản_đối việc này vi_phạm luật giao_thông đường_bộ đã cấm là cấm 
187 2 21:2 45:1 66:1 136:2 262:1 281:1 292:2 365:2 431:1 438:1 546:1 555:2 567:1 651:1 672:2 748:1 786:1 1038:1 1039:1 1040:1 1041:1 1042:1 1043:1 		  nếu cho kinh_doanh vỉa_hè rồi lại lộn_xộn thôi văn_hoá vỉa_hè sẽ tồn_tại mãi thế_này sao ? tận_dụng làm chỗ đỗ xe thì còn có_lý vì chỗ để xe hiện_nay rất thiếu còn cho thuê kinh_doanh là tôi không ủng_hộ 
188 2 91:1 550:1 861:1 1040:1 1044:1 1045:1 		lại bát_nháo thế_này bao_giờ mới khá nổi 
189 2 21:2 136:1 365:1 544:1 1029:1 1043:1 1046:1 1047:1 1048:1 1049:1 1050:1 1051:1 1052:1 		đã dọn_dẹp vỉa_hè để lấy lại không_gian đi_lại cho rộng_rãi vậy_mà còn đề suất cho thuê gì nữa vậy trời 
190 2 21:1 49:1 128:1 278:1 310:1 361:1 364:1 672:2 1053:1 1054:1 		cho kinh_doanh rồi ai quản_lý nỗi nếu người kinh_doanh lấn_chiếm dẹp đi không đồng_ý
191 2 21:1 109:1 361:2 457:1 554:1 718:1 1055:1 1056:1 		dẹp rồi lại cho bán trở_lại bó_tay vậy_thì đừng có dẹp làm_gì 
192 2 21:1 67:1 91:2 157:1 268:1 322:1 365:1 672:1 758:1 1057:1 1058:1 		không biết nói_gì hơn mới được mấy ngày mà đã có đề_xuất mới dứt_khoát không cho kinh_doanh vỉa_hè 
193 2 683:1 		cạn_lời
194 2 15:1 21:1 49:3 66:1 76:1 78:2 94:1 96:1 121:1 128:1 136:2 190:1 220:1 253:1 261:1 276:1 277:1 341:1 365:2 367:1 382:1 438:1 442:1 463:1 625:1 672:1 725:1 779:1 890:2 1028:1 1044:1 1058:1 1059:1 1060:1 1061:1 1062:1 1063:1 1064:1 1065:1 1066:1 1067:1 1068:1 1069:1 1070:1 1071:1 1072:1 1073:1 1074:1 1075:1 1076:1 1077:1 		phản_đối đề_xuất kinh_doanh trên vỉa_hè khi ý_thức người_dân còn quá kém kèm theo lòng tham tâm_lý số đông khi sử_dụng hộ này chật quá để thêm vật_dụng ra ngoài nghĩ cũng không sao người này thấy người kia để được cũng làm theo người người_làm theo cán_bộ đi kiểm_tra rất mỏng còn rất nhiều vấn_đề phát_sinh vỉa_hè phải dùng đúng mục_đích cho làm_việc này việc kia sẽ sinh_ra tiêu_cực mỹ_quan đô_thị và tất_cả sẽ mất kiểm_soát bát_nháo cho_đến vài chục năm sau 
195 2 323:1 326:1 361:2 365:1 384:1 438:1 549:1 573:1 643:1 854:1 1029:1 1078:1 1079:1 1080:1 1081:1 1082:1 1083:1 1084:1 1085:1 		không hiểu sao lại nảy ra ý_định này đã dẹp là dẹp hẳn luôn tốn bao công_sức để lấy lại vỉa_hè rồi loanh_quanh sẽ khó mà trở_thành 1 góc nhỏ của singapo 
196 2 121:1 365:1 590:2 787:1 1022:1 1046:1 1081:1 1086:1 1087:1 1088:1 1089:1 1090:1 1091:1 		bao_nhiêu công_sức tiền_của để đập phá dọn_dẹp lại vỉa_hè giờ mà thêm cái qđ này nữa khác_gì bữa giờ ném_tiền_qua_cửa_sổ 
197 2 78:1 121:1 178:1 181:1 365:1 413:2 517:1 1092:1 1093:1 1094:1 		vỉa_hè rộng quá thì mở_rộng thêm đường giải_quyết ùn ứ tắc đường 
198 2 49:1 61:1 96:1 128:1 278:1 281:1 294:1 310:1 364:1 1095:1 1096:1 1097:1 1098:1 1099:1 1100:1 		ai bảo_đảm sẽ không tái_diễn cảnh lấn_chiếm lòng lề_đường nữa ? và người đi bộ lại phải xuống lòng_đường tôi không đồng_ý dự_thảo này 
199 2 487:2 573:1 1036:1 1072:1 1074:1 1098:1 1101:1 		không nên rất khó kiểm_soát tiêu_cực đã cấm là cấm hẵn lề_đường để giao_thông 
200 2 21:3 49:1 66:2 109:1 116:2 322:1 365:1 412:1 463:1 555:1 779:1 868:1 1013:1 1102:1 1103:2 1104:1 1105:1 1106:1 		phản_đối sử_dụng vỉa_hè 3m kẻ sơn cho bán hàng rong đã làm thì làm cho tới nơi trước kẻ sơn cho để xe rồi kết_cục thế_nào mọi người đều đã biết
