1 1 1:-0.13922152088754197 2:-0.135260611001453 4:-0.22788667225621362 5:-0.15928594829504655 7:-0.2621870342367972 8:-0.2621870342367972 10:-0.2621870342367972 11:-0.2621870342367972 13:-0.18254406008927387 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
95 1 21:-0.32251110405595795 39:0.059531871955552436 77:0.08345749214093262 97:-0.5801078230440959 132:-0.7667072071964306 159:-1.2041199697129406 171:-1.0981024589781805 197:-0.6617597897571995 213:-0.6020599783849785 220:-0.3916490455338326 502:-0.9925809529268045 503:-0.8627275218464825 504:-0.9925809529268045 505:-0.7867681269281029 506:-0.9925809529268045 507:-0.9925809529268045 508:-0.8627275218464825 509:-0.9925809529268045 510:-0.2999019033093854 511:-0.9925809529268045 512:-0.2999019033093854 513:-0.9925809529268045 514:-0.7328740907661605 515:-0.9925809529268045 516:-0.9925809529268045 517:-0.7867681269281029 		một tín_hiệu đáng mừng hy_vọng đẩy_mạnh và nhanh hơn_nữa công_tác cải_cách thủ_tục hành_chính tthc thực_hiện cơ_chế một cửa một cửa liên_thông tạo điều_kiện thuận_lợi nhất cho người_dân và doanh_nghiệp trong giải_quyết tthc 
96 1 21:-0.32251110405595795 38:0.06396623127457968 101:-0.9093809543399517 		vậy có phải là tốt cho dân không
97 1 78:0.04213435766353873 112:-0.9093809543399517 131:-1.0176527765915522 211:-0.31480436109427484 423:-1.023523552406597 518:0.309803958800438 		hay quá mình cũng sắp mua nhà 
98 1 1:-0.13922152088754197 2:-0.135260611001453 132:-0.7667072071964306 222:-0.0754964559786681 269:-0.06631354409019037 270:-0.07032490849300761 519:1.4891097229274108E-8 520:1.2942984017882964E-8 		tuyệt_vời thật tuyệt_vời một hành_động mang tính tích_cực và rất nhân_văn 
99 1 43:0.07330625011468372 45:-0.03599780895733318 122:-0.9093809543399517 186:-0.16589374373032306 408:-1.344195743375277 454:-0.22788667225621362 520:1.2942984017882964E-8 521:-0.42031779527431934 522:-0.4608978395208019 523:-0.5302698768370445 524:-0.5302698768370445 525:-0.5302698768370445 		rất nhân_văn xin ủng_hộ chủ_trương của đà nẵng và mong những cô_gái lầm_đường_lạc_lối sớm về với cộng_đồng 
100 1 2:-0.135260611001453 39:0.059531871955552436 195:-0.7482842913553551 196:-0.7482842913553551 230:0.07330625011468372 256:-1.344195743375277 503:-0.8627275218464825 521:-0.42031779527431934 522:-0.4608978395208019 526:-0.4051912169425199 527:-0.4051912169425199 		phải công_nhận là trên cả tuyệt_vời đà nẵng là thành_phố đáng sống nhất việt nam cơ_mà 
101 2 142:-0.7549209935263947 528:1.274857488986503 		không_thể chấp_nhận
102 2 39:0.059531871955552436 132:-0.7667072071964306 197:-0.6617597897571995 220:-0.3916490455338326 277:-0.27490623494773353 319:-0.42031779527431934 349:0.24816226377459902 404:-1.141874123975376 435:-0.7258062713008238 529:-0.7258062713008238 530:-0.9156719187657897 531:-0.9156719187657897 532:-0.9156719187657897 533:-0.9156719187657897 534:-0.9156719187657897 535:-0.9156719187657897 536:-0.9156719187657897 537:-0.9156719187657897 538:-0.9156719187657897 539:-0.9156719187657897 		người_dân chúng_tôi muốn nghe một lời giải_thích hoặc đính_chính của ngành đường_sắt nếu đây là một sự_thật thì quả_là một ý_tưởng siêu rồ_dại nhất trong năm 2016
103 2 128:-0.6841593264798133 129:-0.7258062713008238 184:-0.8765583686769393 262:8.419605220332626E-9 438:-0.5012600928457122 447:-0.29718480469001346 540:-0.74143624375057 541:-0.5876985680736323 542:-0.5876985680736323 543:-0.0339465153245826 544:-0.6444385732891087 545:-0.74143624375057 546:-0.6444385732891087 547:-0.74143624375057 548:-0.6444385732891087 		  sao không chủ_động tìm thị_trường các nước khác mà suất khẩu đi ăn mãi được đâu mà_còn các mặt_hàng khác nữa chứ 
104 2 549:0.7612758908621442 550:0.8376831388648301 		không hiểu nổi 
105 2 13:-0.18254406008927387 21:-0.32251110405595795 300:-1.1364034271016408 308:-1.036348062551472 430:-0.13452653995112301 551:-0.19358631027563006 552:-0.19358631027563006 553:0.43049201538062165 554:-0.22788667225621362 		cái vô_lý nhất_là phí bảo_vệ môi_trường thu nhiều và chẳng làm_gì cho môi_trường cả 
106 2 1:-0.13922152088754197 21:-0.32251110405595795 118:-1.1875290877898197 121:-1.0176527765915522 128:-0.6841593264798133 131:-1.0176527765915522 132:-0.7667072071964306 136:-0.748304062738001 247:-1.225845171806498 254:-1.07674111048744 278:-0.24940374219819422 284:0.355415026621936 322:-0.3509457579580767 555:8.715724347631912E-9 556:-0.32117434236630327 557:-0.32117434236630327 558:-0.8702255777570986 559:-0.4051912169425199 560:-1.0978702665599385 563:-0.8702255777570986 564:-1.0978702665599385 		xe chính chủ thật không hợp_lý hai vợ chông tôi có một chiếc xe lúc tôi đi lúc vợ đi không biết để tên ai chính chủ cũng không biết làm_sao cho khỏi bị phạt tiền không có tiền mua thêm xe còn bị phạt nữa
107 2 447:-0.29718480469001346 529:-0.7258062713008238 552:-0.19358631027563006 555:8.715724347631912E-9 556:-0.32117434236630327 557:-0.32117434236630327 565:-0.5302698768370445 566:-0.4608978395208019 567:-0.3221537648883166 568:-0.42031779527431934 569:-0.4608978395208019 		rầu nhất_là cái vụ xe không chính chủ thôi nhiều khi đâu phải muốn sang_tên là sang đâu 
108 2 79:-0.7568734802395048 118:-1.1875290877898197 132:-0.7667072071964306 261:1.0367718431723768E-8 262:8.419605220332626E-9 264:8.715724347631912E-9 269:-0.06631354409019037 281:-0.22390125283031473 412:-1.141874123975376 543:-0.0339465153245826 555:8.715724347631912E-9 568:-0.42031779527431934 569:-0.4608978395208019 570:-1.360057377113608 571:-1.360057377113608 572:-1.360057377113608 573:-0.8605498385310864 575:-0.6673783274961893 576:-1.360057377113608 577:-1.360057377113608 578:-1.1821292027278871 579:-1.360057377113608 580:-1.360057377113608 581:-1.1821292027278871 582:-1.360057377113608 583:-1.360057377113608 584:-1.1821292027278871 		không đồng_tình với việc phạt hành_vi không sang_tên xe mô_tô xe_gắn_máy khó có_thể chứng_minh được lỗi này ví _ dụ như tôi mượn xe của một ông bạn giàu_có dư xe để mang sang tỉnh khác làm_việc thì chứng_minh thế_nào đây ?  
109 2 50:-0.06631354409019037 128:-0.6841593264798133 211:-0.31480436109427484 278:-0.24940374219819422 281:-0.22390125283031473 284:0.355415026621936 555:8.715724347631912E-9 556:-0.32117434236630327 557:-0.32117434236630327 563:-0.8702255777570986 566:-0.4608978395208019 568:-0.42031779527431934 573:-0.8605498385310864 585:-0.3471476684251635 586:-1.1306380260151183 587:-1.1306380260151183 588:-0.9827234135545142 589:-0.8348088010939101 590:-0.6617597897571995 591:-1.1306380260151183 592:-1.1306380260151183 		thật_sự là cái vụ sang_tên chính chủ không được hợp_lý 2 chị_em có cái xe lúc chị đi lúc tôi đi để tên ai cũng khó hay hộ_khẩu với xe_máy giờ là 2 vật bất_ly_thân ? ?
110 2 567:-0.3221537648883166 593:1.3979400086720375 		thôi xong
111 2 21:-0.32251110405595795 61:1.0367718431723768E-8 62:1.180341073484634E-8 68:0.7309531358051344 76:0.059531871955552436 91:-0.4926092943636468 101:-0.9093809543399517 119:-1.1875290877898197 128:-0.6841593264798133 142:-0.7549209935263947 162:-1.2041199697129406 186:-0.16589374373032306 197:-0.6617597897571995 342:-0.5266511024302838 366:-0.4465799863412682 449:-0.3270124576436147 508:-0.8627275218464825 517:-0.7867681269281029 518:0.309803958800438 584:-1.1821292027278871 594:-1.2027087143097317 595:-1.3234214074506947 596:-0.5928616127591058 597:-1.9008229229441471 598:-1.208143873326728 599:-1.9008229229441471 600:-1.9008229229441471 601:-1.652149625625066 602:-1.652149625625066 603:-1.9008229229441471 604:-1.652149625625066 605:-1.9008229229441471 606:-1.652149625625066 607:-1.506685058077123 608:-1.506685058077123 609:-1.9008229229441471 610:-1.9008229229441471 611:-1.9008229229441471 612:-1.2580117607580419 613:-1.652149625625066 614:-1.0500896342971036 615:-1.9008229229441471 616:-1.9008229229441471 617:-1.9008229229441471 618:-1.9008229229441471 619:-1.652149625625066 620:-1.652149625625066 621:-1.9008229229441471 622:-1.9008229229441471 		rất buồn với chính_sách bảo_hiểm những bệnh nặng như các bệnh ung_thư v v các bệnh mà tuyến huyện tuyến tỉnh trình_độ bác_sĩ ở đây không_thể điều_trị và chữa được nhưng bệnh_viện rất khoát không cho đi mà nếu đi được thì thủ_tục cực_kỳ phức_tạp gây ra muôn_vàn những khổ_cực cho người_nhà người_bệnh gia_đình nào có trong trường_hợp này mới thấy cơ_cực thậm trí có những trường_hợp sắp chết mới cho người_ta chuyển viện tuyến trên tôi rất mong bộ y_tế vào_cuộc giải_quyết giúp dân
112 2 49:-0.04051559033293016 112:-0.9093809543399517 423:-1.023523552406597 623:-0.8323465823292315 624:-0.8323465823292315 625:-0.61456472938368 626:-0.8323465823292315 627:-0.7234556558564558 628:-0.8323465823292315 629:-0.8323465823292315 630:-0.8323465823292315 631:-0.8323465823292315 632:-0.8323465823292315 633:-0.13966753271181248 634:-0.8323465823292315 		cố_chấp giữ lại có vấn_đề gì hãng sẽ không chịu trách_nhiệm vì đã thông_báo thu_hồi rồi lỡ xui hại mình hại người cháy nhà 
113 2 21:-0.32251110405595795 54:-0.08278534443048224 91:-0.4926092943636468 97:-0.5801078230440959 122:-0.9093809543399517 136:-0.748304062738001 205:-0.9827234135545142 284:0.355415026621936 319:-0.42031779527431934 328:0.19512031208214384 342:-0.5266511024302838 596:-0.5928616127591058 601:-1.652149625625066 602:-1.652149625625066 612:-1.2580117607580419 635:-1.3255156471844183 636:-0.3153909832958167 637:-1.5250256319466506 638:-1.3255156471844183 639:-0.8323465823292315 640:-0.8323465823292315 641:-1.5250256319466506 643:-0.5508676147355693 644:-1.5250256319466506 645:-1.5250256319466506 646:-0.8323465823292315 647:-1.0617777931166736 648:-1.3255156471844183 649:-1.5250256319466506 650:-1.5250256319466506 651:-1.126005662422186 652:-1.5250256319466506 653:-1.5250256319466506 654:-1.5250256319466506 		không hợp_lý chút nào thời_gian điều_trị còn phụ_thuộc phần_lớn vào phương_pháp kĩ_thuật của bác_sĩ và máy_móc y_học nữa cùng 1 loại bệnh nếu điều_trị bằng các phương_pháp và kĩ_thuật máy_móc khác_nhau cũng sẽ khác_nhau về thời_gian điều_trị quy_định mới này có_thể tạo cơ_hội cho 1 bộ_phận y bác sỹ thiếu y_đức sẽ sách_nhiễu người_bệnh hoặc kéo_dài thời_gian 
114 2 21:-0.32251110405595795 49:-0.04051559033293016 62:1.180341073484634E-8 68:0.7309531358051344 78:0.04213435766353873 97:-0.5801078230440959 128:-0.6841593264798133 132:-0.7667072071964306 143:-1.037027853869807 155:-0.9457220750477037 278:-0.24940374219819422 281:-0.22390125283031473 326:1.064446551611978 341:-0.6597585412083451 390:-1.1364034271016408 435:-0.7258062713008238 459:-0.5084211188277474 590:-0.6617597897571995 595:-1.3234214074506947 607:-1.506685058077123 608:-1.506685058077123 612:-1.2580117607580419 636:-0.3153909832958167 648:-1.3255156471844183 651:-1.126005662422186 655:-1.344195743375277 656:-1.5465173627751778 657:-1.5465173627751778 658:-1.5465173627751778 659:-1.5465173627751778 660:-1.5465173627751778 661:-1.5465173627751778 662:-1.5465173627751778 663:-1.5465173627751778 664:-1.5465173627751778 665:-1.5465173627751778 		chính_sách bảo_hiểm quá phức_tạp gây khó_khăn cho người_bệnh đã thế lại thiếu ổn_định và thực_tiễn ai đi đếm thời_gian 4 giờ đó ? tạo cơ_hội cho cán_bộ ngành y_tế và bảo_hiểm trục_lợi đây mà gọi_là bảo_hiểm ah ? chính_sách cho thì được không cho không được không có một ràng_buộc rõ_ràng giữa người nhận bảo_hiểm và người được bảo_hiểm và phần thiệt luôn là người được bảo_hiểm
115 2 21:-0.32251110405595795 39:0.059531871955552436 42:0.06396623127457968 49:-0.04051559033293016 66:0.0990688183079093 68:0.7309531358051344 91:-0.4926092943636468 95:0.12429581781201704 101:-0.9093809543399517 128:-0.6841593264798133 136:-0.748304062738001 137:-1.3979400280865142 278:-0.24940374219819422 306:-0.9653576677351706 452:-0.19358631027563006 486:1.0367718431723768E-8 550:0.8376831388648301 590:-0.6617597897571995 595:-1.3234214074506947 619:-1.652149625625066 627:-0.7234556558564558 647:-1.0617777931166736 666:-1.6852600025442235 667:-0.433700323604795 668:-1.464787513174445 669:-1.6852600025442235 670:-1.6852600025442235 671:-1.6852600025442235 672:-1.1153468729491203 673:-1.6852600025442235 674:-1.6852600025442235 675:-1.6852600025442235 676:-1.6852600025442235 677:-1.6852600025442235 678:-1.464787513174445 679:-1.6852600025442235 680:-1.464787513174445 681:-1.2443150238046665 682:-1.6852600025442235 		lúc nguy_hiểm nhất người_ta mới cần cấp_cứu vậy rồi chờ khám rồi mới được vào cấp_cứu thì toi_mạng rồi còn gì luật gì mà kì_cục vậy kinh_doanh trên tính_mạng con_người riết rồi dân ai cũng sợ cái chính_sách dở_hơi này đọc mà tức chịu không nổi hs đi học ép đóng bảo_hiểm 100 người đi làm bắt đóng bảo_hiểm 100 vậy tại_sao bảo_hiểm lại quy_định cho khung giờ cấp_cứu 
116 2 270:-0.07032490849300761 590:-0.6617597897571995 667:-0.433700323604795 683:0.5490512471942065 		cấp_cứu mà tính giờ cạn_lời 
117 2 259:0.32299670181264856 281:-0.22390125283031473 438:-0.5012600928457122 541:-0.5876985680736323 612:-1.2580117607580419 684:1.099487080649182E-8 686:1.4891097229274108E-8 687:1.4891097229274108E-8 		bảo_hiểm_y_tế sao cứ tìm cách bắt_chẹt người_bệnh hoài vậy ?
118 2 78:0.04213435766353873 549:0.7612758908621442 573:-0.8605498385310864 688:0.9156718964291434 		qui_định khó hiểu quá
119 2 684:1.099487080649182E-8 689:0.356434100987628 690:0.356434100987628 691:0.356434100987628 		bảo_hiểm_y_tế lại rơi vào vòng luẩn_quẩn rồi
120 2 636:-0.3153909832958167 647:-1.0617777931166736 693:0.6020600042709465 		quy_định thời_gian là chưa phù_hợp
121 2 64:0.14758219740930006 78:0.04213435766353873 220:-0.3916490455338326 262:8.419605220332626E-9 306:-0.9653576677351706 452:-0.19358631027563006 550:0.8376831388648301 595:-1.3234214074506947 607:-1.506685058077123 612:-1.2580117607580419 695:-0.6414203897462586 696:-0.6414203897462586 697:-0.5084211188277474 		quá nhiều điều phức_tạp kêu_gọi người_dân đóng bảo_hiểm 100 nhưng   làm_khó người_bệnh thất_vọng và không tin nổi vào bảo_hiểm
122 2 78:0.04213435766353873 128:-0.6841593264798133 567:-0.3221537648883166 684:1.099487080649182E-8 698:0.40463189352428874 699:0.5104806571499786 		ôi bảo_hiểm_y_tế ngao_ngán quá đi thôi 
123 2 216:-0.6020599783849785 219:-0.6020599783849785 405:-1.344195743375277 700:1.4891097229274108E-8 701:1.4891097229274108E-8 702:1.4891097229274108E-8 703:1.4891097229274108E-8 704:1.4891097229274108E-8 		nói_tóm_lại điều_luật này không sát tình_hình thực_tế không hợp_tình không hợp hoàn_cảnh
124 2 21:-0.32251110405595795 136:-0.748304062738001 189:-0.19358631027563006 449:-0.3270124576436147 541:-0.5876985680736323 567:-0.3221537648883166 596:-0.5928616127591058 604:-1.652149625625066 612:-1.2580117607580419 620:-1.652149625625066 684:1.099487080649182E-8 698:0.40463189352428874 705:-1.0639916668232428 706:-0.7407893350959982 707:-1.0639916668232428 709:-1.0639916668232428 710:-1.0639916668232428 711:-0.7407893350959982 		bảo_hiểm_y_tế còn nhiều nhiêu_khê lắm cứ lòng_vòng chuyển tuyến bệnh_viện tuyến dưới không tìm ra bệnh đến khi lên đến tuyến trên thì ôi thôi rồi giai_đoạn cuối chỉ khổ cho người_bệnh thôi 
125 2 136:-0.748304062738001 668:-1.464787513174445 712:-0.09524578036795688 713:-0.09524578036795688 714:-0.09524578036795688 715:-0.09524578036795688 716:-0.09524578036795688 717:-0.09524578036795688 		chờ kq xn máu đã 3h rồi còn gì rõ chán
126 2 683:0.5490512471942065 718:1.274857488986503 		bó_tay cạn_lời
127 2 50:-0.06631354409019037 706:-0.7407893350959982 719:1.2031597067673974 		thật_sự đau_đầu lắm lắm 
128 2 1:-0.13922152088754197 128:-0.6841593264798133 459:-0.5084211188277474 596:-0.5928616127591058 614:-1.0500896342971036 647:-1.0617777931166736 667:-0.433700323604795 711:-0.7407893350959982 720:-0.6444385732891087 721:-0.04237858196114619 722:-0.74143624375057 723:-0.74143624375057 		thật khổ với cái quy_định này đã đi cấp_cứu vì bệnh thì ít có trường_hợp dưới 4 tiếng chỉ có trường_hợp cấp_cứu vì tai_nạn thì may_ra dưới 4 tiếng 
129 2 112:-0.9093809543399517 122:-0.9093809543399517 126:-1.3979400280865142 262:8.419605220332626E-9 278:-0.24940374219819422 322:-0.3509457579580767 328:0.19512031208214384 423:-1.023523552406597 438:-0.5012600928457122 590:-0.6617597897571995 595:-1.3234214074506947 625:-0.61456472938368 667:-0.433700323604795 724:-0.7879248299853759 725:-0.5817658415315136 		  đã là bảo_hiểm cấp_cứu ai mà chọn giờ cấp_cứu được không biết các bác nhà mình nghĩ sao về vấn_đề này nửa 
130 2 78:0.04213435766353873 549:0.7612758908621442 550:0.8376831388648301 726:0.309803958800438 727:0.309803958800438 728:0.356434100987628 		không hiểu nổi trung quốc quá vô_lối
131 2 78:0.04213435766353873 222:-0.0754964559786681 729:0.6926790645085164 730:0.6926790645085164 731:0.6926790645085164 		quá phẫn_nộ hành_động coi_thường pháp_luật 
132 2 142:-0.7549209935263947 528:1.274857488986503 732:0.9118639501284003 733:0.356434100987628 734:0.356434100987628 735:0.309803958800438 		đánh nhau là gây_rối đánh phụ_nữ là không_thể chấp_nhận 
133 2 90:-0.8299466635841761 142:-0.7549209935263947 528:1.274857488986503 732:0.9118639501284003 735:0.309803958800438 		không_thể chấp_nhận việc đánh phụ_nữ như_thế được 
134 2 36:-0.7597080494637637 66:0.0990688183079093 132:-0.7667072071964306 278:-0.24940374219819422 310:0.9093809417105434 317:0.2987831335739718 337:0.694329106565521 736:-0.6926790347263219 737:-0.6020599783849785 738:-0.6926790347263219 739:-0.6020599783849785 740:1.099487080649182E-8 741:-0.6020599783849785 742:-0.6926790347263219 743:-0.6926790347263219 744:-0.6926790347263219 		ai đồng_ý xóa lịch âm và gộp tết cổ_truyền và tết tây làm một thì kệ chứ em nói thật_là em không đồng_ý như_vậy
135 2 21:-0.32251110405595795 49:-0.04051559033293016 142:-0.7549209935263947 171:-1.0981024589781805 189:-0.19358631027563006 197:-0.6617597897571995 214:-0.6020599783849785 241:-1.344195743375277 317:0.2987831335739718 416:-1.023523552406597 737:-0.6020599783849785 739:-0.6020599783849785 740:1.099487080649182E-8 741:-0.6020599783849785 745:-0.9029667352430651 746:-1.2229489264544635 747:-1.2229489264544635 748:-1.0629578308487644 749:-1.2229489264544635 750:-1.2229489264544635 751:-1.2229489264544635 752:-1.2229489264544635 754:-1.2229489264544635 756:-1.2229489264544635 757:-1.2229489264544635 758:-1.0629578308487644 		tôi nói không với việc đổi gộp lịch nét truyền_thống văn_hoá đón tết_âm_lịch không_thể mai_một trong tôi dù tôi đã hơn_nữa đời người nơi đất_khách_quê_người tôi đang cố_gắng dạy cho con tôi nhớ đến ngày tết cổ_truyền đây 
136 2 20:-0.8155753991302194 121:-1.0176527765915522 308:-1.036348062551472 505:-0.7867681269281029 529:-0.7258062713008238 555:8.715724347631912E-9 643:-0.5508676147355693 759:-0.74143624375057 760:-0.74143624375057 761:-0.74143624375057 762:-0.74143624375057 763:-0.74143624375057 764:-0.74143624375057 765:-0.74143624375057 766:-0.74143624375057 767:-0.74143624375057 		không cần_thiết muốn nhanh đầu_tư sân_bay tàu_bay là nhanh có quốc_lộ 1 rồi bay gio xe chạy cũng rần_rần xây thêm phí
137 2 42:0.06396623127457968 132:-0.7667072071964306 430:-0.13452653995112301 486:1.0367718431723768E-8 549:0.7612758908621442 647:-1.0617777931166736 718:1.274857488986503 768:-0.3362449486297908 769:-0.3362449486297908 770:-0.3362449486297908 771:-0.2922560325275243 		đọc luật một hồi kết_quả chẳng hiểu là quyền_hạn được quy_định ntn nữa bó_tay
138 2 78:0.04213435766353873 549:0.7612758908621442 573:-0.8605498385310864 606:-1.652149625625066 772:0.5104806571499786 		quá rườm_rà và cực_kỳ khó hiểu 
139 2 773:1.6083509460465621 		không ổn 
140 2 262:8.419605220332626E-9 278:-0.24940374219819422 281:-0.22390125283031473 366:-0.4465799863412682 697:-0.5084211188277474 774:1.4891097229274108E-8 775:1.4891097229274108E-8 		thất_vọng ai sẽ là trục ở châu_á đây ?  
141 2 262:8.419605220332626E-9 697:-0.5084211188277474 776:0.22299284681172452 777:0.22299284681172452 		tôi đã bảo rồi mà thất_vọng trum  
142 2 567:-0.3221537648883166 778:1.2031597067673974 		thế_là thôi rồi
143 2 21:-0.32251110405595795 49:-0.04051559033293016 97:-0.5801078230440959 128:-0.6841593264798133 145:-0.7896338298707758 337:0.694329106565521 779:-0.29718480469001346 780:-0.4082399653118496 781:-0.4082399653118496 782:-0.46968620280569456 783:-0.46968620280569456 		em phản_đối hôn_nhân đồng_tính vì nó đi ngược_lại cái tạo_hóa đã tạo ra cho mỗi người 
144 2 21:-0.32251110405595795 33:-0.8943160238554868 39:0.059531871955552436 49:-0.04051559033293016 50:-0.06631354409019037 67:0.14109438435948235 91:-0.4926092943636468 103:-1.3979400280865142 122:-0.9093809543399517 127:-1.0176527765915522 136:-0.748304062738001 197:-0.6617597897571995 211:-0.31480436109427484 253:-1.07674111048744 258:-1.344195743375277 261:1.0367718431723768E-8 270:-0.07032490849300761 277:-0.27490623494773353 281:-0.22390125283031473 301:-1.1364034271016408 317:0.2987831335739718 323:-0.42031779527431934 452:-0.19358631027563006 567:-0.3221537648883166 608:-1.506685058077123 779:-0.29718480469001346 780:-0.4082399653118496 781:-0.4082399653118496 785:-2.1732829292202136 786:-1.2869053270864068 787:-1.2869053270864068 788:-1.0754126105414357 789:-2.1732829292202136 790:-2.1732829292202136 791:-1.2869053270864068 792:-1.4806038796027945 793:-2.1732829292202136 794:-1.0754126105414357 795:-1.8889653184143693 796:-2.1732829292202136 797:-2.1732829292202136 798:-2.1732829292202136 799:-1.4806038796027945 800:-2.1732829292202136 801:-1.4806038796027945 802:-1.8889653184143693 803:-2.1732829292202136 804:-2.1732829292202136 805:-2.1732829292202136 806:-2.1732829292202136 807:-2.1732829292202136 808:-2.1732829292202136 809:-2.1732829292202136 810:-2.1732829292202136 811:-1.4806038796027945 812:-2.1732829292202136 813:-2.1732829292202136 814:-2.1732829292202136 815:-2.1732829292202136 816:-2.1732829292202136 817:-2.1732829292202136 818:-2.1732829292202136 819:-2.1732829292202136 821:-2.1732829292202136 822:-2.1732829292202136 823:-2.1732829292202136 824:-2.1732829292202136 		nếu phản_đối hôn_nhân đồng_tính tôi là người đầu_tiên làm_việc này thật_sự mà nói 100 người đồng_tính hiện_nay thì được bao_nhiêu người là bị đồng_tính từ nhỏ ? còn bao_nhiêu người là bị dụ_dỗ ? tôi khẳng_định là hơn 95 số người bị đồng_tính là bị dụ_dỗ nhiều người trẻ mới lớn còn bị lơ_mơ về giới_tính hay những người yếu bản_lĩnh bị dụ_dỗ và đã trả thành_đồng tính giới_tính thứ_ba đang gây rất nhiều bức_xúc cho xã_hội hiện_nay nếu_không lên_tiếng cản_ngăn rồi_đây khoảng 10 20 năm nữa thôi giới_tính thứ_ba sẽ chiếm tỉ_lệ rất lớn trong xã_hội chúng_ta mà những người đồng_tính nhiều nhất lại hoạt_động chủ_yếu trong giới nghệ_sĩ như ca_sĩ diễn_viên bọn họ rất dễ khiến cho giới trẻ lầm tưởng và noi theo chúng_ta phải chặn ngay_lập_tức hiện_tượng tệ_hại này 
145 2 83:-0.8299466635841761 122:-0.9093809543399517 779:-0.29718480469001346 825:-0.4051912169425199 826:-0.4051912169425199 827:-0.4051912169425199 828:-0.4051912169425199 829:-0.4051912169425199 830:-0.4051912169425199 		tôi phản_đối nếu hợp_pháp_hoá thì sẽ ảnh_hưởng nghiêm_trọng đền sự tồn_vong của giống_nòi về sau_này 
146 2 831:1.2031597067673974 832:1.2031597067673974 		đang ảo_tưởng à 
147 2 13:-0.18254406008927387 21:-0.32251110405595795 49:-0.04051559033293016 145:-0.7896338298707758 247:-1.225845171806498 259:0.32299670181264856 310:0.9093809417105434 317:0.2987831335739718 486:1.0367718431723768E-8 567:-0.3221537648883166 680:-1.464787513174445 802:-1.8889653184143693 833:-1.2229489264544635 834:-1.2229489264544635 835:-1.2229489264544635 836:-1.2229489264544635 837:-1.2229489264544635 838:-1.2229489264544635 839:-1.2229489264544635 		cáu này cần phải tìm_hiểu cho kỹ nếu đã là bảo_vệ vệ thì bảo_vệ khỏi cái gì người bán_dâm có đồng_ý với cách này không nếu_không thì nó là bắt nhốt nói bảo_vệ chỉ là để lách luật thôi tôi không đồng_ý với cách này
148 2 211:-0.31480436109427484 259:0.32299670181264856 		cách này không hay
149 2 42:0.06396623127457968 49:-0.04051559033293016 66:0.0990688183079093 76:0.059531871955552436 78:0.04213435766353873 112:-0.9093809543399517 128:-0.6841593264798133 145:-0.7896338298707758 195:-0.7482842913553551 259:0.32299670181264856 455:-0.1735218828681255 499:-0.2922560325275243 521:-0.42031779527431934 543:-0.0339465153245826 555:8.715724347631912E-9 589:-0.8348088010939101 594:-1.2027087143097317 725:-0.5817658415315136 840:-1.410034072398515 841:-1.410034072398515 842:-0.6235077544689696 843:-1.410034072398515 844:-1.410034072398515 845:-1.410034072398515 846:-1.410034072398515 847:-1.410034072398515 848:-1.0411014191953492 849:-1.410034072398515 850:-1.410034072398515 851:-1.410034072398515 852:-0.6235077544689696 		đọc song thấy buồn quá ước_mơ có được chiếc xe ô_tô của những người trung_lưu việt ngày_càng xa_vời mình dám chắc người đi ô_tô sẽ có cách nghĩ cách làm nhìn xa khác với người đi xe_máy và người đi xe_đạp cứ đà này thấy khả_năng phát_triển nó cứ mờ_mịt quá trời_ơi trời_ơi 
150 2 42:0.06396623127457968 50:-0.06631354409019037 74:0.09151498759284227 131:-1.0176527765915522 189:-0.19358631027563006 277:-0.27490623494773353 303:-1.1364034271016408 333:0.16464720522050133 416:-1.023523552406597 498:-0.2922560325275243 555:8.715724347631912E-9 589:-0.8348088010939101 643:-0.5508676147355693 853:-1.0639916668232428 854:-0.9247959990336581 855:-1.0639916668232428 856:-1.0639916668232428 857:-1.0639916668232428 858:-1.0639916668232428 859:-1.0639916668232428 860:-0.37131261720582415 861:-0.9247959990336581 862:-0.9247959990336581 863:-1.0639916668232428 865:-1.0639916668232428 		ấp_ủ bao năm cố gòng gánh mua 1 con xe tầm 400 trả_góp đọc xog bài báo thật_sự rất nản đến bao_giờ oto được xem như mua chiec xe_máy như bây_giờ thật_sự rất nản 
151 2 21:-0.32251110405595795 542:-0.5876985680736323 862:-0.9247959990336581 866:0.6926790645085164 867:0.6926790645085164 		tin_buồn cho thị_trường oto nước_nhà 
152 2 49:-0.04051559033293016 131:-1.0176527765915522 195:-0.7482842913553551 196:-0.7482842913553551 366:-0.4465799863412682 578:-1.1821292027278871 594:-1.2027087143097317 725:-0.5817658415315136 842:-0.6235077544689696 868:-0.3521824728109193 869:-0.4051912169425199 		nghĩ tới việc mua được ô_tô ở việt _ nam mà buồn cả người haiz 
153 2 132:-0.7667072071964306 870:1.2031597067673974 871:1.2031597067673974 		một mớ hỗn_độn 
