1 1 1:1.2218487330493364 2:1.1870866309318795 4:2.0 5:1.3979400086720377 7:2.3010299956639813 8:2.3010299956639813 10:2.3010299956639813 11:2.3010299956639813 13:1.6020599913279623 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
102 2 39:1.3010299956639813 132:1.0969100130080565 197:1.3467874696576363 220:1.3010299956639813 277:1.3467874696576363 319:1.8239087243772987 349:1.6020599913279623 404:1.6989700043360187 435:1.8239087243772987 529:1.8239087243772987 530:2.3010299956639813 531:2.3010299956639813 532:2.3010299956639813 533:2.3010299956639813 534:2.3010299956639813 535:2.3010299956639813 536:2.3010299956639813 537:2.3010299956639813 538:2.3010299956639813 539:2.3010299956639813 		người_dân chúng_tôi muốn nghe một lời giải_thích hoặc đính_chính của ngành đường_sắt nếu đây là một sự_thật thì quả_là một ý_tưởng siêu rồ_dại nhất trong năm 2016
103 2 128:0.978810696788307 129:1.8239087243772987 184:1.4559319515079694 262:1.3010299956639813 438:1.2596373063640012 447:1.4559319515079694 540:2.3010299956639813 541:1.8239087243772987 542:1.8239087243772987 543:1.6020599913279623 544:2.0 545:2.3010299956639813 546:2.0 547:2.3010299956639813 548:2.0 		  sao không chủ_động tìm thị_trường các nước khác mà suất khẩu đi ăn mãi được đâu mà_còn các mặt_hàng khác nữa chứ 
104 2 549:1.4559319515079694 550:1.6020599913279623 		không hiểu nổi 
105 2 13:1.6020599913279623 21:0.7212463949054161 300:2.0 308:1.8239087243772987 430:1.6989700043360187 551:1.6989700043360187 552:1.6989700043360187 553:2.3010299956639813 554:2.0 		cái vô_lý nhất_là phí bảo_vệ môi_trường thu nhiều và chẳng làm_gì cho môi_trường cả 
106 2 1:1.2218487330493364 21:0.7212463949054161 118:1.6989700043360187 121:1.4559319515079694 128:0.978810696788307 131:1.4559319515079694 132:1.0969100130080565 136:1.0705810660021973 247:1.8239087243772987 254:1.6020599913279623 278:1.2218487330493364 284:1.6020599913279623 322:1.5228787287133174 555:1.3467874696576363 556:1.8239087243772987 557:1.8239087243772987 558:1.8239087243772987 559:2.3010299956639813 560:2.3010299956639813 563:1.8239087243772987 564:2.3010299956639813 		xe chính chủ thật không hợp_lý hai vợ chông tôi có một chiếc xe lúc tôi đi lúc vợ đi không biết để tên ai chính chủ cũng không biết làm_sao cho khỏi bị phạt tiền không có tiền mua thêm xe còn bị phạt nữa
107 2 447:1.4559319515079694 529:1.8239087243772987 552:1.6989700043360187 555:1.3467874696576363 556:1.8239087243772987 557:1.8239087243772987 565:2.3010299956639813 566:2.0 567:1.3979400086720377 568:1.8239087243772987 569:2.0 		rầu nhất_là cái vụ xe không chính chủ thôi nhiều khi đâu phải muốn sang_tên là sang đâu 
108 2 79:1.8239087243772987 118:1.6989700043360187 132:1.0969100130080565 261:1.6020599913279623 262:1.3010299956639813 264:1.3467874696576363 269:1.6020599913279623 281:1.0969100130080565 412:1.6989700043360187 543:1.6020599913279623 555:1.3467874696576363 568:1.8239087243772987 569:2.0 570:2.3010299956639813 571:2.3010299956639813 572:2.3010299956639813 573:1.4559319515079694 575:2.3010299956639813 576:2.3010299956639813 577:2.3010299956639813 578:2.0 579:2.3010299956639813 580:2.3010299956639813 581:2.0 582:2.3010299956639813 583:2.3010299956639813 584:2.0 		không đồng_tình với việc phạt hành_vi không sang_tên xe mô_tô xe_gắn_máy khó có_thể chứng_minh được lỗi này ví _ dụ như tôi mượn xe của một ông bạn giàu_có dư xe để mang sang tỉnh khác làm_việc thì chứng_minh thế_nào đây ?  
109 2 50:1.6020599913279623 128:0.978810696788307 211:1.045757473993655 278:1.2218487330493364 281:1.0969100130080565 284:1.6020599913279623 555:1.3467874696576363 556:1.8239087243772987 557:1.8239087243772987 563:1.8239087243772987 566:2.0 568:1.8239087243772987 573:1.4559319515079694 585:1.8239087243772987 586:2.3010299956639813 587:2.3010299956639813 588:2.0 589:1.6989700043360187 590:1.3467874696576363 591:2.3010299956639813 592:2.3010299956639813 		thật_sự là cái vụ sang_tên chính chủ không được hợp_lý 2 chị_em có cái xe lúc chị đi lúc tôi đi để tên ai cũng khó hay hộ_khẩu với xe_máy giờ là 2 vật bất_ly_thân ? ?
110 2 567:1.3979400086720377 593:2.0 		thôi xong
111 2 21:0.7212463949054161 61:1.6020599913279623 62:1.8239087243772987 68:1.3979400086720377 76:1.3010299956639813 91:1.1870866309318795 101:1.3010299956639813 119:1.6989700043360187 128:0.978810696788307 142:1.4559319515079694 162:2.0 186:1.4559319515079694 197:1.3467874696576363 342:1.4559319515079694 366:1.6020599913279623 449:1.6020599913279623 508:2.0 517:1.8239087243772987 518:2.0 584:2.0 594:1.4559319515079694 595:1.6020599913279623 596:1.6989700043360187 597:2.3010299956639813 598:2.3010299956639813 599:2.3010299956639813 600:2.3010299956639813 601:2.0 602:2.0 603:2.3010299956639813 604:2.0 605:2.3010299956639813 606:2.0 607:1.8239087243772987 608:1.8239087243772987 609:2.3010299956639813 610:2.3010299956639813 611:2.3010299956639813 612:1.5228787287133174 613:2.0 614:2.0 615:2.3010299956639813 616:2.3010299956639813 617:2.3010299956639813 618:2.3010299956639813 619:2.0 620:2.0 621:2.3010299956639813 622:2.3010299956639813 		rất buồn với chính_sách bảo_hiểm những bệnh nặng như các bệnh ung_thư v v các bệnh mà tuyến huyện tuyến tỉnh trình_độ bác_sĩ ở đây không_thể điều_trị và chữa được nhưng bệnh_viện rất khoát không cho đi mà nếu đi được thì thủ_tục cực_kỳ phức_tạp gây ra muôn_vàn những khổ_cực cho người_nhà người_bệnh gia_đình nào có trong trường_hợp này mới thấy cơ_cực thậm trí có những trường_hợp sắp chết mới cho người_ta chuyển viện tuyến trên tôi rất mong bộ y_tế vào_cuộc giải_quyết giúp dân
112 2 49:0.978810696788307 112:1.3010299956639813 423:1.5228787287133174 623:2.3010299956639813 624:2.3010299956639813 625:1.6989700043360187 626:2.3010299956639813 627:2.0 628:2.3010299956639813 629:2.3010299956639813 630:2.3010299956639813 631:2.3010299956639813 632:2.3010299956639813 633:2.3010299956639813 634:2.3010299956639813 		cố_chấp giữ lại có vấn_đề gì hãng sẽ không chịu trách_nhiệm vì đã thông_báo thu_hồi rồi lỡ xui hại mình hại người cháy nhà 
113 2 21:0.7212463949054161 54:2.0 91:1.1870866309318795 97:1.3979400086720377 122:1.3010299956639813 136:1.0705810660021973 205:2.0 284:1.6020599913279623 319:1.8239087243772987 328:1.2596373063640012 342:1.4559319515079694 596:1.6989700043360187 601:2.0 602:2.0 612:1.5228787287133174 635:2.0 636:1.6989700043360187 637:2.3010299956639813 638:2.0 639:2.3010299956639813 640:2.3010299956639813 641:2.3010299956639813 643:1.5228787287133174 644:2.3010299956639813 645:2.3010299956639813 646:2.3010299956639813 647:1.6020599913279623 648:2.0 649:2.3010299956639813 650:2.3010299956639813 651:1.6989700043360187 652:2.3010299956639813 653:2.3010299956639813 654:2.3010299956639813 		không hợp_lý chút nào thời_gian điều_trị còn phụ_thuộc phần_lớn vào phương_pháp kĩ_thuật của bác_sĩ và máy_móc y_học nữa cùng 1 loại bệnh nếu điều_trị bằng các phương_pháp và kĩ_thuật máy_móc khác_nhau cũng sẽ khác_nhau về thời_gian điều_trị quy_định mới này có_thể tạo cơ_hội cho 1 bộ_phận y bác sỹ thiếu y_đức sẽ sách_nhiễu người_bệnh hoặc kéo_dài thời_gian 
114 2 21:0.7212463949054161 49:0.978810696788307 62:1.8239087243772987 68:1.3979400086720377 78:0.9208187373853551 97:1.3979400086720377 128:0.978810696788307 132:1.0969100130080565 143:2.0 155:1.8239087243772987 278:1.2218487330493364 281:1.0969100130080565 326:1.5228787287133174 341:1.8239087243772987 390:2.0 435:1.8239087243772987 459:1.8239087243772987 590:1.3467874696576363 595:1.6020599913279623 607:1.8239087243772987 608:1.8239087243772987 612:1.5228787287133174 636:1.6989700043360187 648:2.0 651:1.6989700043360187 655:2.0 656:2.3010299956639813 657:2.3010299956639813 658:2.3010299956639813 659:2.3010299956639813 660:2.3010299956639813 661:2.3010299956639813 662:2.3010299956639813 663:2.3010299956639813 664:2.3010299956639813 665:2.3010299956639813 		chính_sách bảo_hiểm quá phức_tạp gây khó_khăn cho người_bệnh đã thế lại thiếu ổn_định và thực_tiễn ai đi đếm thời_gian 4 giờ đó ? tạo cơ_hội cho cán_bộ ngành y_tế và bảo_hiểm trục_lợi đây mà gọi_là bảo_hiểm ah ? chính_sách cho thì được không cho không được không có một ràng_buộc rõ_ràng giữa người nhận bảo_hiểm và người được bảo_hiểm và phần thiệt luôn là người được bảo_hiểm
115 2 21:0.7212463949054161 39:1.3010299956639813 42:1.3979400086720377 49:0.978810696788307 66:1.0222763905693972 68:1.3979400086720377 91:1.1870866309318795 95:2.0 101:1.3010299956639813 128:0.978810696788307 136:1.0705810660021973 137:2.0 278:1.2218487330493364 306:1.6989700043360187 452:1.6989700043360187 486:1.6020599913279623 550:1.6020599913279623 590:1.3467874696576363 595:1.6020599913279623 619:2.0 627:2.0 647:1.6020599913279623 666:2.3010299956639813 667:1.6989700043360187 668:2.0 669:2.3010299956639813 670:2.3010299956639813 671:2.3010299956639813 672:1.5228787287133174 673:2.3010299956639813 674:2.3010299956639813 675:2.3010299956639813 676:2.3010299956639813 677:2.3010299956639813 678:2.0 679:2.3010299956639813 680:2.0 681:1.6989700043360187 682:2.3010299956639813 		lúc nguy_hiểm nhất người_ta mới cần cấp_cứu vậy rồi chờ khám rồi mới được vào cấp_cứu thì toi_mạng rồi còn gì luật gì mà kì_cục vậy kinh_doanh trên tính_mạng con_người riết rồi dân ai cũng sợ cái chính_sách dở_hơi này đọc mà tức chịu không nổi hs đi học ép đóng bảo_hiểm 100 người đi làm bắt đóng bảo_hiểm 100 vậy tại_sao bảo_hiểm lại quy_định cho khung giờ cấp_cứu 
116 2 270:1.6989700043360187 590:1.3467874696576363 667:1.6989700043360187 683:1.8239087243772987 		cấp_cứu mà tính giờ cạn_lời 
117 2 259:1.4559319515079694 281:1.0969100130080565 438:1.2596373063640012 541:1.8239087243772987 612:1.5228787287133174 684:1.6989700043360187 686:2.3010299956639813 687:2.3010299956639813 		bảo_hiểm_y_tế sao cứ tìm cách bắt_chẹt người_bệnh hoài vậy ?
118 2 78:0.9208187373853551 549:1.4559319515079694 573:1.4559319515079694 688:2.3010299956639813 		qui_định khó hiểu quá
119 2 684:1.6989700043360187 689:2.3010299956639813 690:2.3010299956639813 691:2.3010299956639813 		bảo_hiểm_y_tế lại rơi vào vòng luẩn_quẩn rồi
120 2 636:1.6989700043360187 647:1.6020599913279623 693:2.0 		quy_định thời_gian là chưa phù_hợp
121 2 64:1.5228787287133174 78:0.9208187373853551 220:1.3010299956639813 262:1.3010299956639813 306:1.6989700043360187 452:1.6989700043360187 550:1.6020599913279623 595:1.6020599913279623 607:1.8239087243772987 612:1.5228787287133174 695:2.3010299956639813 696:2.3010299956639813 697:1.8239087243772987 		quá nhiều điều phức_tạp kêu_gọi người_dân đóng bảo_hiểm 100 nhưng   làm_khó người_bệnh thất_vọng và không tin nổi vào bảo_hiểm
122 2 78:0.9208187373853551 128:0.978810696788307 567:1.3979400086720377 684:1.6989700043360187 698:1.8239087243772987 699:2.3010299956639813 		ôi bảo_hiểm_y_tế ngao_ngán quá đi thôi 
123 2 216:2.0 219:2.0 405:2.0 700:2.3010299956639813 701:2.3010299956639813 702:2.3010299956639813 703:2.3010299956639813 704:2.3010299956639813 		nói_tóm_lại điều_luật này không sát tình_hình thực_tế không hợp_tình không hợp hoàn_cảnh
124 2 21:0.7212463949054161 136:1.0705810660021973 189:1.6989700043360187 449:1.6020599913279623 541:1.8239087243772987 567:1.3979400086720377 596:1.6989700043360187 604:2.0 612:1.5228787287133174 620:2.0 684:1.6989700043360187 698:1.8239087243772987 705:2.3010299956639813 706:1.6020599913279623 707:2.3010299956639813 709:2.3010299956639813 710:2.3010299956639813 711:1.6020599913279623 		bảo_hiểm_y_tế còn nhiều nhiêu_khê lắm cứ lòng_vòng chuyển tuyến bệnh_viện tuyến dưới không tìm ra bệnh đến khi lên đến tuyến trên thì ôi thôi rồi giai_đoạn cuối chỉ khổ cho người_bệnh thôi 
125 2 136:1.0705810660021973 668:2.0 712:2.3010299956639813 713:2.3010299956639813 714:2.3010299956639813 715:2.3010299956639813 716:2.3010299956639813 717:2.3010299956639813 		chờ kq xn máu đã 3h rồi còn gì rõ chán
126 2 683:1.8239087243772987 718:1.8239087243772987 		bó_tay cạn_lời
127 2 50:1.6020599913279623 706:1.6020599913279623 719:2.3010299956639813 		thật_sự đau_đầu lắm lắm 
128 2 1:1.2218487330493364 128:0.978810696788307 459:1.8239087243772987 596:1.6989700043360187 614:2.0 647:1.6020599913279623 667:1.6989700043360187 711:1.6020599913279623 720:2.0 721:2.0 722:2.3010299956639813 723:2.3010299956639813 		thật khổ với cái quy_định này đã đi cấp_cứu vì bệnh thì ít có trường_hợp dưới 4 tiếng chỉ có trường_hợp cấp_cứu vì tai_nạn thì may_ra dưới 4 tiếng 
129 2 112:1.3010299956639813 122:1.3010299956639813 126:2.0 262:1.3010299956639813 278:1.2218487330493364 322:1.5228787287133174 328:1.2596373063640012 423:1.5228787287133174 438:1.2596373063640012 590:1.3467874696576363 595:1.6020599913279623 625:1.6989700043360187 667:1.6989700043360187 724:2.3010299956639813 725:1.6989700043360187 		  đã là bảo_hiểm cấp_cứu ai mà chọn giờ cấp_cứu được không biết các bác nhà mình nghĩ sao về vấn_đề này nửa 
130 2 78:0.9208187373853551 549:1.4559319515079694 550:1.6020599913279623 726:2.0 727:2.0 728:2.3010299956639813 		không hiểu nổi trung quốc quá vô_lối
131 2 78:0.9208187373853551 222:1.8239087243772987 729:2.3010299956639813 730:2.3010299956639813 731:2.3010299956639813 		quá phẫn_nộ hành_động coi_thường pháp_luật 
132 2 142:1.4559319515079694 528:1.8239087243772987 732:2.0 733:2.3010299956639813 734:2.3010299956639813 735:2.0 		đánh nhau là gây_rối đánh phụ_nữ là không_thể chấp_nhận 
133 2 90:2.0 142:1.4559319515079694 528:1.8239087243772987 732:2.0 735:2.0 		không_thể chấp_nhận việc đánh phụ_nữ như_thế được 
134 2 36:1.6989700043360187 66:1.0222763905693972 132:1.0969100130080565 278:1.2218487330493364 310:1.3010299956639813 317:1.3467874696576363 337:1.5228787287133174 736:2.3010299956639813 737:2.0 738:2.3010299956639813 739:2.0 740:1.6989700043360187 741:2.0 742:2.3010299956639813 743:2.3010299956639813 744:2.3010299956639813 		ai đồng_ý xóa lịch âm và gộp tết cổ_truyền và tết tây làm một thì kệ chứ em nói thật_là em không đồng_ý như_vậy
135 2 21:0.7212463949054161 49:0.978810696788307 142:1.4559319515079694 171:1.8239087243772987 189:1.6989700043360187 197:1.3467874696576363 214:2.0 241:2.0 317:1.3467874696576363 416:1.5228787287133174 737:2.0 739:2.0 740:1.6989700043360187 741:2.0 745:1.6989700043360187 746:2.3010299956639813 747:2.3010299956639813 748:2.0 749:2.3010299956639813 750:2.3010299956639813 751:2.3010299956639813 752:2.3010299956639813 754:2.3010299956639813 756:2.3010299956639813 757:2.3010299956639813 758:2.0 		tôi nói không với việc đổi gộp lịch nét truyền_thống văn_hoá đón tết_âm_lịch không_thể mai_một trong tôi dù tôi đã hơn_nữa đời người nơi đất_khách_quê_người tôi đang cố_gắng dạy cho con tôi nhớ đến ngày tết cổ_truyền đây 
136 2 20:1.8239087243772987 121:1.4559319515079694 308:1.8239087243772987 505:1.8239087243772987 529:1.8239087243772987 555:1.3467874696576363 643:1.5228787287133174 759:2.3010299956639813 760:2.3010299956639813 761:2.3010299956639813 762:2.3010299956639813 763:2.3010299956639813 764:2.3010299956639813 765:2.3010299956639813 766:2.3010299956639813 767:2.3010299956639813 		không cần_thiết muốn nhanh đầu_tư sân_bay tàu_bay là nhanh có quốc_lộ 1 rồi bay gio xe chạy cũng rần_rần xây thêm phí
137 2 42:1.3979400086720377 132:1.0969100130080565 430:1.6989700043360187 486:1.6020599913279623 549:1.4559319515079694 647:1.6020599913279623 718:1.8239087243772987 768:2.3010299956639813 769:2.3010299956639813 770:2.3010299956639813 771:2.0 		đọc luật một hồi kết_quả chẳng hiểu là quyền_hạn được quy_định ntn nữa bó_tay
138 2 78:0.9208187373853551 549:1.4559319515079694 573:1.4559319515079694 606:2.0 772:2.3010299956639813 		quá rườm_rà và cực_kỳ khó hiểu 
139 2 773:2.3010299956639813 		không ổn 
140 2 262:1.3010299956639813 278:1.2218487330493364 281:1.0969100130080565 366:1.6020599913279623 697:1.8239087243772987 774:2.3010299956639813 775:2.3010299956639813 		thất_vọng ai sẽ là trục ở châu_á đây ?  
141 2 262:1.3010299956639813 697:1.8239087243772987 776:2.3010299956639813 777:2.3010299956639813 		tôi đã bảo rồi mà thất_vọng trum  
142 2 567:1.3979400086720377 778:2.3010299956639813 		thế_là thôi rồi
143 2 21:0.7212463949054161 49:0.978810696788307 97:1.3979400086720377 128:0.978810696788307 145:1.5228787287133174 337:1.5228787287133174 779:1.4559319515079694 780:2.0 781:2.0 782:2.3010299956639813 783:2.3010299956639813 		em phản_đối hôn_nhân đồng_tính vì nó đi ngược_lại cái tạo_hóa đã tạo ra cho mỗi người 
144 2 21:0.7212463949054161 33:2.0 39:1.3010299956639813 49:0.978810696788307 50:1.6020599913279623 67:1.4559319515079694 91:1.1870866309318795 103:2.0 122:1.3010299956639813 127:1.4559319515079694 136:1.0705810660021973 197:1.3467874696576363 211:1.045757473993655 253:1.6020599913279623 258:2.0 261:1.6020599913279623 270:1.6989700043360187 277:1.3467874696576363 281:1.0969100130080565 301:2.0 317:1.3467874696576363 323:1.8239087243772987 452:1.6989700043360187 567:1.3979400086720377 608:1.8239087243772987 779:1.4559319515079694 780:2.0 781:2.0 785:2.3010299956639813 786:2.0 787:2.0 788:2.3010299956639813 789:2.3010299956639813 790:2.3010299956639813 791:2.0 792:2.3010299956639813 793:2.3010299956639813 794:2.3010299956639813 795:2.0 796:2.3010299956639813 797:2.3010299956639813 798:2.3010299956639813 799:2.3010299956639813 800:2.3010299956639813 801:2.3010299956639813 802:2.0 803:2.3010299956639813 804:2.3010299956639813 805:2.3010299956639813 806:2.3010299956639813 807:2.3010299956639813 808:2.3010299956639813 809:2.3010299956639813 810:2.3010299956639813 811:2.3010299956639813 812:2.3010299956639813 813:2.3010299956639813 814:2.3010299956639813 815:2.3010299956639813 816:2.3010299956639813 817:2.3010299956639813 818:2.3010299956639813 819:2.3010299956639813 821:2.3010299956639813 822:2.3010299956639813 823:2.3010299956639813 824:2.3010299956639813 		nếu phản_đối hôn_nhân đồng_tính tôi là người đầu_tiên làm_việc này thật_sự mà nói 100 người đồng_tính hiện_nay thì được bao_nhiêu người là bị đồng_tính từ nhỏ ? còn bao_nhiêu người là bị dụ_dỗ ? tôi khẳng_định là hơn 95 số người bị đồng_tính là bị dụ_dỗ nhiều người trẻ mới lớn còn bị lơ_mơ về giới_tính hay những người yếu bản_lĩnh bị dụ_dỗ và đã trả thành_đồng tính giới_tính thứ_ba đang gây rất nhiều bức_xúc cho xã_hội hiện_nay nếu_không lên_tiếng cản_ngăn rồi_đây khoảng 10 20 năm nữa thôi giới_tính thứ_ba sẽ chiếm tỉ_lệ rất lớn trong xã_hội chúng_ta mà những người đồng_tính nhiều nhất lại hoạt_động chủ_yếu trong giới nghệ_sĩ như ca_sĩ diễn_viên bọn họ rất dễ khiến cho giới trẻ lầm tưởng và noi theo chúng_ta phải chặn ngay_lập_tức hiện_tượng tệ_hại này 
145 2 83:2.0 122:1.3010299956639813 779:1.4559319515079694 825:2.3010299956639813 826:2.3010299956639813 827:2.3010299956639813 828:2.3010299956639813 829:2.3010299956639813 830:2.3010299956639813 		tôi phản_đối nếu hợp_pháp_hoá thì sẽ ảnh_hưởng nghiêm_trọng đền sự tồn_vong của giống_nòi về sau_này 
146 2 831:2.3010299956639813 832:2.3010299956639813 		đang ảo_tưởng à 
147 2 13:1.6020599913279623 21:0.7212463949054161 49:0.978810696788307 145:1.5228787287133174 247:1.8239087243772987 259:1.4559319515079694 310:1.3010299956639813 317:1.3467874696576363 486:1.6020599913279623 567:1.3979400086720377 680:2.0 802:2.0 833:2.3010299956639813 834:2.3010299956639813 835:2.3010299956639813 836:2.3010299956639813 837:2.3010299956639813 838:2.3010299956639813 839:2.3010299956639813 		cáu này cần phải tìm_hiểu cho kỹ nếu đã là bảo_vệ vệ thì bảo_vệ khỏi cái gì người bán_dâm có đồng_ý với cách này không nếu_không thì nó là bắt nhốt nói bảo_vệ chỉ là để lách luật thôi tôi không đồng_ý với cách này
148 2 211:1.045757473993655 259:1.4559319515079694 		cách này không hay
149 2 42:1.3979400086720377 49:0.978810696788307 66:1.0222763905693972 76:1.3010299956639813 78:0.9208187373853551 112:1.3010299956639813 128:0.978810696788307 145:1.5228787287133174 195:1.5228787287133174 259:1.4559319515079694 455:1.5228787287133174 499:2.0 521:1.8239087243772987 543:1.6020599913279623 555:1.3467874696576363 589:1.6989700043360187 594:1.4559319515079694 725:1.6989700043360187 840:2.3010299956639813 841:2.3010299956639813 842:2.0 843:2.3010299956639813 844:2.3010299956639813 845:2.3010299956639813 846:2.3010299956639813 847:2.3010299956639813 848:1.6989700043360187 849:2.3010299956639813 850:2.3010299956639813 851:2.3010299956639813 852:2.0 		đọc song thấy buồn quá ước_mơ có được chiếc xe ô_tô của những người trung_lưu việt ngày_càng xa_vời mình dám chắc người đi ô_tô sẽ có cách nghĩ cách làm nhìn xa khác với người đi xe_máy và người đi xe_đạp cứ đà này thấy khả_năng phát_triển nó cứ mờ_mịt quá trời_ơi trời_ơi 
150 2 42:1.3979400086720377 50:1.6020599913279623 74:2.0 131:1.4559319515079694 189:1.6989700043360187 277:1.3467874696576363 303:2.0 333:1.6989700043360187 416:1.5228787287133174 498:2.0 555:1.3467874696576363 589:1.6989700043360187 643:1.5228787287133174 853:2.3010299956639813 854:2.0 855:2.3010299956639813 856:2.3010299956639813 857:2.3010299956639813 858:2.3010299956639813 859:2.3010299956639813 860:2.3010299956639813 861:2.0 862:2.0 863:2.3010299956639813 865:2.3010299956639813 		ấp_ủ bao năm cố gòng gánh mua 1 con xe tầm 400 trả_góp đọc xog bài báo thật_sự rất nản đến bao_giờ oto được xem như mua chiec xe_máy như bây_giờ thật_sự rất nản 
151 2 21:0.7212463949054161 542:1.8239087243772987 862:2.0 866:2.3010299956639813 867:2.3010299956639813 		tin_buồn cho thị_trường oto nước_nhà 
152 2 49:0.978810696788307 131:1.4559319515079694 195:1.5228787287133174 196:1.5228787287133174 366:1.6020599913279623 578:2.0 594:1.4559319515079694 725:1.6989700043360187 842:2.0 868:2.0 869:2.3010299956639813 		nghĩ tới việc mua được ô_tô ở việt _ nam mà buồn cả người haiz 
153 2 132:1.0969100130080565 870:2.3010299956639813 871:2.3010299956639813 		một mớ hỗn_độn 
154 2 96:1.4559319515079694 122:1.3010299956639813 252:1.6989700043360187 302:1.6020599913279623 394:1.8239087243772987 404:1.6989700043360187 416:1.5228787287133174 872:1.2596373063640012 873:1.6989700043360187 874:1.4559319515079694 875:1.6989700043360187 876:2.3010299956639813 877:2.3010299956639813 878:2.3010299956639813 879:2.0 		sinh_viên hết được miễn giảm vé tàu_hỏa nghe mà nghẹn lòng xin_lỗi bố_mẹ đợt lễ này con không về 
155 2 21:0.7212463949054161 43:1.6020599913279623 112:1.3010299956639813 122:1.3010299956639813 128:0.978810696788307 131:1.4559319515079694 136:1.0705810660021973 142:1.4559319515079694 168:2.0 278:1.2218487330493364 281:1.0969100130080565 302:1.6020599913279623 306:1.6989700043360187 423:1.5228787287133174 441:1.6989700043360187 447:1.4559319515079694 514:1.6989700043360187 590:1.3467874696576363 678:2.0 681:1.6989700043360187 720:2.0 848:1.6989700043360187 872:1.2596373063640012 874:1.4559319515079694 875:1.6989700043360187 880:1.8239087243772987 881:1.6989700043360187 882:2.3010299956639813 883:1.8239087243772987 884:2.3010299956639813 885:2.3010299956639813 886:2.0 887:1.4559319515079694 888:2.3010299956639813 889:2.3010299956639813 890:2.0 		tại_sao sinh_viên không được miễn_giảm mua vé tàu_hỏa chứ mỗi khi về quê là mình thường đi tàu nhà không có điều_kiện nên vẫn mua vé tàu cho tiết_kiệm mà cũng đâu phải ít sinh_viên đâu bạn_bè mình quê xa khi được về nhà ai cũng mua nếu không_thể giảm nhiều xin hãy giảm ít giờ học_phí tăng cao kinh_khủng tiết_kiệm khoản này khoản kia để còn đóng học chứ ?
156 2 21:0.7212463949054161 97:1.3979400086720377 136:1.0705810660021973 337:1.5228787287133174 438:1.2596373063640012 514:1.6989700043360187 706:1.6020599913279623 872:1.2596373063640012 891:2.3010299956639813 892:2.3010299956639813 893:2.0 894:2.3010299956639813 895:2.3010299956639813 896:2.3010299956639813 		thiết_nghĩ đời_sống sinh_viên của con_em nhà_nông còn vất_vả lắm sao lại không tạo điều_kiện cho các em ấy 
157 2 67:1.4559319515079694 594:1.4559319515079694 711:1.6020599913279623 872:1.2596373063640012 897:2.3010299956639813 898:1.6020599913279623 		buồn vg là sinh_viên nghèo lại càng khổ hơn rồi 
158 2 49:0.978810696788307 76:1.3010299956639813 91:1.1870866309318795 119:1.6989700043360187 136:1.0705810660021973 211:1.045757473993655 284:1.6020599913279623 551:1.6989700043360187 745:1.6989700043360187 872:1.2596373063640012 880:1.8239087243772987 900:2.3010299956639813 901:2.3010299956639813 902:2.3010299956639813 903:2.3010299956639813 		tôi thấy vô_lý khi còn phân_loại khuyết_tật là khuyết_tật nặng mới được sinh_viên và người khuyết_tật là những đối_tượng hợp_lý để được miễn_giảm không nên sữa đổi điều này không hay 
159 2 312:1.8239087243772987 590:1.3467874696576363 872:1.2596373063640012 898:1.6020599913279623 		sinh_viên đã nghèo rồi mà giờ không được hỗ_trợ nữa 
160 2 122:1.3010299956639813 310:1.3010299956639813 874:1.4559319515079694 875:1.6989700043360187 		chuyện về vé tàu_hỏa là không đồng_ý
161 2 21:0.7212463949054161 76:1.3010299956639813 152:2.0 337:1.5228787287133174 514:1.6989700043360187 638:2.0 848:1.6989700043360187 872:1.2596373063640012 881:1.6989700043360187 893:2.0 905:2.3010299956639813 906:2.0 907:2.3010299956639813 908:1.6989700043360187 909:2.3010299956639813 910:2.3010299956639813 		sinh_viên phần_lớn xa quê và là con_em nông_dân công_nhân không có điều_kiện thế_mà không giảm_giá cho các em í @ @ thấy tội cho các em
162 2 66:1.0222763905693972 101:1.3010299956639813 136:1.0705810660021973 147:1.8239087243772987 548:2.0 681:1.6989700043360187 898:1.6020599913279623 911:2.3010299956639813 912:2.3010299956639813 913:2.3010299956639813 914:2.3010299956639813 915:2.3010299956639813 916:2.3010299956639813 917:2.3010299956639813 918:2.3010299956639813 		những mặt_hàng nông_nghiệp như phân thuốc_trừ_sâu bình ỗn được chứ dân đang nghèo mùa_màng thất_bát tại_sao còn đưa gạo làm bình ỗn
163 2 21:0.7212463949054161 38:1.3979400086720377 360:2.0 401:2.0 438:1.2596373063640012 874:1.4559319515079694 908:1.6989700043360187 919:2.3010299956639813 920:2.3010299956639813 921:2.3010299956639813 922:2.0 923:2.3010299956639813 		những cái tốt sao hok duy_trì mà_lại hủy_bỏ là sao giảm_giá vé cho sv là việc_làm thiết_thực mà 
