1 1 1:1.2471545992518625 2:1.2144362394649855 4:2.0043213737826426 5:1.414973347970818 7:2.303196057420489 8:2.303196057420489 10:2.303196057420489 11:2.303196057420489 13:1.6127838567197355 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
99 1 43:1.6127838567197355 45:0.9246621112797515 122:1.3222192947339193 186:1.4708723014409653 408:2.0043213737826426 454:2.0043213737826426 520:2.0043213737826426 521:1.8303747668713632 522:2.0043213737826426 523:2.303196057420489 524:2.303196057420489 525:2.303196057420489 		rất nhân_văn xin ủng_hộ chủ_trương của đà nẵng và mong những cô_gái lầm_đường_lạc_lối sớm về với cộng_đồng 
100 1 2:1.2144362394649855 39:1.3222192947339193 195:1.5357159539010243 196:1.5357159539010243 230:1.6127838567197355 256:2.0043213737826426 503:2.0043213737826426 521:1.8303747668713632 522:2.0043213737826426 526:2.303196057420489 527:2.303196057420489 		phải công_nhận là trên cả tuyệt_vời đà nẵng là thành_phố đáng sống nhất việt nam cơ_mà 
101 2 142:1.4708723014409653 528:1.8303747668713632 		không_thể chấp_nhận
102 2 39:1.3222192947339193 132:1.130333768495006 197:1.3659037608181215 220:1.3222192947339193 277:1.3659037608181215 319:1.8303747668713632 349:1.6127838567197355 404:1.7075701760979363 435:1.8303747668713632 529:1.8303747668713632 530:2.303196057420489 531:2.303196057420489 532:2.303196057420489 533:2.303196057420489 534:2.303196057420489 535:2.303196057420489 536:2.303196057420489 537:2.303196057420489 538:2.303196057420489 539:2.303196057420489 		người_dân chúng_tôi muốn nghe một lời giải_thích hoặc đính_chính của ngành đường_sắt nếu đây là một sự_thật thì quả_là một ý_tưởng siêu rồ_dại nhất trong năm 2016
103 2 128:1.0221729752029969 129:1.8303747668713632 184:1.4708723014409653 262:1.3222192947339193 438:1.2828897662136336 447:1.4708723014409653 540:2.303196057420489 541:1.8303747668713632 542:1.8303747668713632 543:1.6127838567197355 544:2.0043213737826426 545:2.303196057420489 546:2.0043213737826426 547:2.303196057420489 548:2.0043213737826426 		  sao không chủ_động tìm thị_trường các nước khác mà suất khẩu đi ăn mãi được đâu mà_còn các mặt_hàng khác nữa chứ 
104 2 549:1.4708723014409653 550:1.6127838567197355 		không hiểu nổi 
105 2 13:1.6127838567197355 21:0.7967933569592355 300:2.0043213737826426 308:1.8303747668713632 430:1.7075701760979363 551:1.7075701760979363 552:1.7075701760979363 553:2.303196057420489 554:2.0043213737826426 		cái vô_lý nhất_là phí bảo_vệ môi_trường thu nhiều và chẳng làm_gì cho môi_trường cả 
106 2 1:1.2471545992518625 21:0.7967933569592355 118:1.7075701760979363 121:1.4708723014409653 128:1.0221729752029969 131:1.4708723014409653 132:1.130333768495006 136:1.1060108048356843 247:1.8303747668713632 254:1.6127838567197355 278:1.2471545992518625 284:1.6127838567197355 322:1.5357159539010243 555:1.3659037608181215 556:1.8303747668713632 557:1.8303747668713632 558:1.8303747668713632 559:2.303196057420489 560:2.303196057420489 563:1.8303747668713632 564:2.303196057420489 		xe chính chủ thật không hợp_lý hai vợ chông tôi có một chiếc xe lúc tôi đi lúc vợ đi không biết để tên ai chính chủ cũng không biết làm_sao cho khỏi bị phạt tiền không có tiền mua thêm xe còn bị phạt nữa
107 2 447:1.4708723014409653 529:1.8303747668713632 552:1.7075701760979363 555:1.3659037608181215 556:1.8303747668713632 557:1.8303747668713632 565:2.303196057420489 566:2.0043213737826426 567:1.414973347970818 568:1.8303747668713632 569:2.0043213737826426 		rầu nhất_là cái vụ xe không chính chủ thôi nhiều khi đâu phải muốn sang_tên là sang đâu 
108 2 79:1.8303747668713632 118:1.7075701760979363 132:1.130333768495006 261:1.6127838567197355 262:1.3222192947339193 264:1.3659037608181215 269:1.6127838567197355 281:1.130333768495006 412:1.7075701760979363 543:1.6127838567197355 555:1.3659037608181215 568:1.8303747668713632 569:2.0043213737826426 570:2.303196057420489 571:2.303196057420489 572:2.303196057420489 573:1.4708723014409653 575:2.303196057420489 576:2.303196057420489 577:2.303196057420489 578:2.0043213737826426 579:2.303196057420489 580:2.303196057420489 581:2.0043213737826426 582:2.303196057420489 583:2.303196057420489 584:2.0043213737826426 		không đồng_tình với việc phạt hành_vi không sang_tên xe mô_tô xe_gắn_máy khó có_thể chứng_minh được lỗi này ví _ dụ như tôi mượn xe của một ông bạn giàu_có dư xe để mang sang tỉnh khác làm_việc thì chứng_minh thế_nào đây ?  
109 2 50:1.6127838567197355 128:1.0221729752029969 211:1.0831839733021977 278:1.2471545992518625 281:1.130333768495006 284:1.6127838567197355 555:1.3659037608181215 556:1.8303747668713632 557:1.8303747668713632 563:1.8303747668713632 566:2.0043213737826426 568:1.8303747668713632 573:1.4708723014409653 585:1.8303747668713632 586:2.303196057420489 587:2.303196057420489 588:2.0043213737826426 589:1.7075701760979363 590:1.3659037608181215 591:2.303196057420489 592:2.303196057420489 		thật_sự là cái vụ sang_tên chính chủ không được hợp_lý 2 chị_em có cái xe lúc chị đi lúc tôi đi để tên ai cũng khó hay hộ_khẩu với xe_máy giờ là 2 vật bất_ly_thân ? ?
110 2 567:1.414973347970818 593:2.0043213737826426 		thôi xong
111 2 21:0.7967933569592355 61:1.6127838567197355 62:1.8303747668713632 68:1.414973347970818 76:1.3222192947339193 91:1.2144362394649855 101:1.3222192947339193 119:1.7075701760979363 128:1.0221729752029969 142:1.4708723014409653 162:2.0043213737826426 186:1.4708723014409653 197:1.3659037608181215 342:1.4708723014409653 366:1.6127838567197355 449:1.6127838567197355 508:2.0043213737826426 517:1.8303747668713632 518:2.0043213737826426 584:2.0043213737826426 594:1.4708723014409653 595:1.6127838567197355 596:1.7075701760979363 597:2.303196057420489 598:2.303196057420489 599:2.303196057420489 600:2.303196057420489 601:2.0043213737826426 602:2.0043213737826426 603:2.303196057420489 604:2.0043213737826426 605:2.303196057420489 606:2.0043213737826426 607:1.8303747668713632 608:1.8303747668713632 609:2.303196057420489 610:2.303196057420489 611:2.303196057420489 612:1.5357159539010243 613:2.0043213737826426 614:2.0043213737826426 615:2.303196057420489 616:2.303196057420489 617:2.303196057420489 618:2.303196057420489 619:2.0043213737826426 620:2.0043213737826426 621:2.303196057420489 622:2.303196057420489 		rất buồn với chính_sách bảo_hiểm những bệnh nặng như các bệnh ung_thư v v các bệnh mà tuyến huyện tuyến tỉnh trình_độ bác_sĩ ở đây không_thể điều_trị và chữa được nhưng bệnh_viện rất khoát không cho đi mà nếu đi được thì thủ_tục cực_kỳ phức_tạp gây ra muôn_vàn những khổ_cực cho người_nhà người_bệnh gia_đình nào có trong trường_hợp này mới thấy cơ_cực thậm trí có những trường_hợp sắp chết mới cho người_ta chuyển viện tuyến trên tôi rất mong bộ y_tế vào_cuộc giải_quyết giúp dân
112 2 49:1.0221729752029969 112:1.3222192947339193 423:1.5357159539010243 623:2.303196057420489 624:2.303196057420489 625:1.7075701760979363 626:2.303196057420489 627:2.0043213737826426 628:2.303196057420489 629:2.303196057420489 630:2.303196057420489 631:2.303196057420489 632:2.303196057420489 633:2.303196057420489 634:2.303196057420489 		cố_chấp giữ lại có vấn_đề gì hãng sẽ không chịu trách_nhiệm vì đã thông_báo thu_hồi rồi lỡ xui hại mình hại người cháy nhà 
113 2 21:0.7967933569592355 54:2.0043213737826426 91:1.2144362394649855 97:1.414973347970818 122:1.3222192947339193 136:1.1060108048356843 205:2.0043213737826426 284:1.6127838567197355 319:1.8303747668713632 328:1.2828897662136336 342:1.4708723014409653 596:1.7075701760979363 601:2.0043213737826426 602:2.0043213737826426 612:1.5357159539010243 635:2.0043213737826426 636:1.7075701760979363 637:2.303196057420489 638:2.0043213737826426 639:2.303196057420489 640:2.303196057420489 641:2.303196057420489 643:1.5357159539010243 644:2.303196057420489 645:2.303196057420489 646:2.303196057420489 647:1.6127838567197355 648:2.0043213737826426 649:2.303196057420489 650:2.303196057420489 651:1.7075701760979363 652:2.303196057420489 653:2.303196057420489 654:2.303196057420489 		không hợp_lý chút nào thời_gian điều_trị còn phụ_thuộc phần_lớn vào phương_pháp kĩ_thuật của bác_sĩ và máy_móc y_học nữa cùng 1 loại bệnh nếu điều_trị bằng các phương_pháp và kĩ_thuật máy_móc khác_nhau cũng sẽ khác_nhau về thời_gian điều_trị quy_định mới này có_thể tạo cơ_hội cho 1 bộ_phận y bác sỹ thiếu y_đức sẽ sách_nhiễu người_bệnh hoặc kéo_dài thời_gian 
114 2 21:0.7967933569592355 49:1.0221729752029969 62:1.8303747668713632 68:1.414973347970818 78:0.9700367618305746 97:1.414973347970818 128:1.0221729752029969 132:1.130333768495006 143:2.0043213737826426 155:1.8303747668713632 278:1.2471545992518625 281:1.130333768495006 326:1.5357159539010243 341:1.8303747668713632 390:2.0043213737826426 435:1.8303747668713632 459:1.8303747668713632 590:1.3659037608181215 595:1.6127838567197355 607:1.8303747668713632 608:1.8303747668713632 612:1.5357159539010243 636:1.7075701760979363 648:2.0043213737826426 651:1.7075701760979363 655:2.0043213737826426 656:2.303196057420489 657:2.303196057420489 658:2.303196057420489 659:2.303196057420489 660:2.303196057420489 661:2.303196057420489 662:2.303196057420489 663:2.303196057420489 664:2.303196057420489 665:2.303196057420489 		chính_sách bảo_hiểm quá phức_tạp gây khó_khăn cho người_bệnh đã thế lại thiếu ổn_định và thực_tiễn ai đi đếm thời_gian 4 giờ đó ? tạo cơ_hội cho cán_bộ ngành y_tế và bảo_hiểm trục_lợi đây mà gọi_là bảo_hiểm ah ? chính_sách cho thì được không cho không được không có một ràng_buộc rõ_ràng giữa người nhận bảo_hiểm và người được bảo_hiểm và phần thiệt luôn là người được bảo_hiểm
115 2 21:0.7967933569592355 39:1.3222192947339193 42:1.414973347970818 49:1.0221729752029969 66:1.0616905101048648 68:1.414973347970818 91:1.2144362394649855 95:2.0043213737826426 101:1.3222192947339193 128:1.0221729752029969 136:1.1060108048356843 137:2.0043213737826426 278:1.2471545992518625 306:1.7075701760979363 452:1.7075701760979363 486:1.6127838567197355 550:1.6127838567197355 590:1.3659037608181215 595:1.6127838567197355 619:2.0043213737826426 627:2.0043213737826426 647:1.6127838567197355 666:2.303196057420489 667:1.7075701760979363 668:2.0043213737826426 669:2.303196057420489 670:2.303196057420489 671:2.303196057420489 672:1.5357159539010243 673:2.303196057420489 674:2.303196057420489 675:2.303196057420489 676:2.303196057420489 677:2.303196057420489 678:2.0043213737826426 679:2.303196057420489 680:2.0043213737826426 681:1.7075701760979363 682:2.303196057420489 		lúc nguy_hiểm nhất người_ta mới cần cấp_cứu vậy rồi chờ khám rồi mới được vào cấp_cứu thì toi_mạng rồi còn gì luật gì mà kì_cục vậy kinh_doanh trên tính_mạng con_người riết rồi dân ai cũng sợ cái chính_sách dở_hơi này đọc mà tức chịu không nổi hs đi học ép đóng bảo_hiểm 100 người đi làm bắt đóng bảo_hiểm 100 vậy tại_sao bảo_hiểm lại quy_định cho khung giờ cấp_cứu 
116 2 270:1.7075701760979363 590:1.3659037608181215 667:1.7075701760979363 683:1.8303747668713632 		cấp_cứu mà tính giờ cạn_lời 
117 2 259:1.4708723014409653 281:1.130333768495006 438:1.2828897662136336 541:1.8303747668713632 612:1.5357159539010243 684:1.7075701760979363 686:2.303196057420489 687:2.303196057420489 		bảo_hiểm_y_tế sao cứ tìm cách bắt_chẹt người_bệnh hoài vậy ?
118 2 78:0.9700367618305746 549:1.4708723014409653 573:1.4708723014409653 688:2.303196057420489 		qui_định khó hiểu quá
119 2 684:1.7075701760979363 689:2.303196057420489 690:2.303196057420489 691:2.303196057420489 		bảo_hiểm_y_tế lại rơi vào vòng luẩn_quẩn rồi
120 2 636:1.7075701760979363 647:1.6127838567197355 693:2.0043213737826426 		quy_định thời_gian là chưa phù_hợp
121 2 64:1.5357159539010243 78:0.9700367618305746 220:1.3222192947339193 262:1.3222192947339193 306:1.7075701760979363 452:1.7075701760979363 550:1.6127838567197355 595:1.6127838567197355 607:1.8303747668713632 612:1.5357159539010243 695:2.303196057420489 696:2.303196057420489 697:1.8303747668713632 		quá nhiều điều phức_tạp kêu_gọi người_dân đóng bảo_hiểm 100 nhưng   làm_khó người_bệnh thất_vọng và không tin nổi vào bảo_hiểm
122 2 78:0.9700367618305746 128:1.0221729752029969 567:1.414973347970818 684:1.7075701760979363 698:1.8303747668713632 699:2.303196057420489 		ôi bảo_hiểm_y_tế ngao_ngán quá đi thôi 
123 2 216:2.0043213737826426 219:2.0043213737826426 405:2.0043213737826426 700:2.303196057420489 701:2.303196057420489 702:2.303196057420489 703:2.303196057420489 704:2.303196057420489 		nói_tóm_lại điều_luật này không sát tình_hình thực_tế không hợp_tình không hợp hoàn_cảnh
124 2 21:0.7967933569592355 136:1.1060108048356843 189:1.7075701760979363 449:1.6127838567197355 541:1.8303747668713632 567:1.414973347970818 596:1.7075701760979363 604:2.0043213737826426 612:1.5357159539010243 620:2.0043213737826426 684:1.7075701760979363 698:1.8303747668713632 705:2.303196057420489 706:1.6127838567197355 707:2.303196057420489 709:2.303196057420489 710:2.303196057420489 711:1.6127838567197355 		bảo_hiểm_y_tế còn nhiều nhiêu_khê lắm cứ lòng_vòng chuyển tuyến bệnh_viện tuyến dưới không tìm ra bệnh đến khi lên đến tuyến trên thì ôi thôi rồi giai_đoạn cuối chỉ khổ cho người_bệnh thôi 
125 2 136:1.1060108048356843 668:2.0043213737826426 712:2.303196057420489 713:2.303196057420489 714:2.303196057420489 715:2.303196057420489 716:2.303196057420489 717:2.303196057420489 		chờ kq xn máu đã 3h rồi còn gì rõ chán
126 2 683:1.8303747668713632 718:1.8303747668713632 		bó_tay cạn_lời
127 2 50:1.6127838567197355 706:1.6127838567197355 719:2.303196057420489 		thật_sự đau_đầu lắm lắm 
128 2 1:1.2471545992518625 128:1.0221729752029969 459:1.8303747668713632 596:1.7075701760979363 614:2.0043213737826426 647:1.6127838567197355 667:1.7075701760979363 711:1.6127838567197355 720:2.0043213737826426 721:2.0043213737826426 722:2.303196057420489 723:2.303196057420489 		thật khổ với cái quy_định này đã đi cấp_cứu vì bệnh thì ít có trường_hợp dưới 4 tiếng chỉ có trường_hợp cấp_cứu vì tai_nạn thì may_ra dưới 4 tiếng 
129 2 112:1.3222192947339193 122:1.3222192947339193 126:2.0043213737826426 262:1.3222192947339193 278:1.2471545992518625 322:1.5357159539010243 328:1.2828897662136336 423:1.5357159539010243 438:1.2828897662136336 590:1.3659037608181215 595:1.6127838567197355 625:1.7075701760979363 667:1.7075701760979363 724:2.303196057420489 725:1.7075701760979363 		  đã là bảo_hiểm cấp_cứu ai mà chọn giờ cấp_cứu được không biết các bác nhà mình nghĩ sao về vấn_đề này nửa 
130 2 78:0.9700367618305746 549:1.4708723014409653 550:1.6127838567197355 726:2.0043213737826426 727:2.0043213737826426 728:2.303196057420489 		không hiểu nổi trung quốc quá vô_lối
131 2 78:0.9700367618305746 222:1.8303747668713632 729:2.303196057420489 730:2.303196057420489 731:2.303196057420489 		quá phẫn_nộ hành_động coi_thường pháp_luật 
132 2 142:1.4708723014409653 528:1.8303747668713632 732:2.0043213737826426 733:2.303196057420489 734:2.303196057420489 735:2.0043213737826426 		đánh nhau là gây_rối đánh phụ_nữ là không_thể chấp_nhận 
133 2 90:2.0043213737826426 142:1.4708723014409653 528:1.8303747668713632 732:2.0043213737826426 735:2.0043213737826426 		không_thể chấp_nhận việc đánh phụ_nữ như_thế được 
134 2 36:1.7075701760979363 66:1.0616905101048648 132:1.130333768495006 278:1.2471545992518625 310:1.3222192947339193 317:1.3659037608181215 337:1.5357159539010243 736:2.303196057420489 737:2.0043213737826426 738:2.303196057420489 739:2.0043213737826426 740:1.7075701760979363 741:2.0043213737826426 742:2.303196057420489 743:2.303196057420489 744:2.303196057420489 		ai đồng_ý xóa lịch âm và gộp tết cổ_truyền và tết tây làm một thì kệ chứ em nói thật_là em không đồng_ý như_vậy
135 2 21:0.7967933569592355 49:1.0221729752029969 142:1.4708723014409653 171:1.8303747668713632 189:1.7075701760979363 197:1.3659037608181215 214:2.0043213737826426 241:2.0043213737826426 317:1.3659037608181215 416:1.5357159539010243 737:2.0043213737826426 739:2.0043213737826426 740:1.7075701760979363 741:2.0043213737826426 745:1.7075701760979363 746:2.303196057420489 747:2.303196057420489 748:2.0043213737826426 749:2.303196057420489 750:2.303196057420489 751:2.303196057420489 752:2.303196057420489 754:2.303196057420489 756:2.303196057420489 757:2.303196057420489 758:2.0043213737826426 		tôi nói không với việc đổi gộp lịch nét truyền_thống văn_hoá đón tết_âm_lịch không_thể mai_một trong tôi dù tôi đã hơn_nữa đời người nơi đất_khách_quê_người tôi đang cố_gắng dạy cho con tôi nhớ đến ngày tết cổ_truyền đây 
136 2 20:1.8303747668713632 121:1.4708723014409653 308:1.8303747668713632 505:1.8303747668713632 529:1.8303747668713632 555:1.3659037608181215 643:1.5357159539010243 759:2.303196057420489 760:2.303196057420489 761:2.303196057420489 762:2.303196057420489 763:2.303196057420489 764:2.303196057420489 765:2.303196057420489 766:2.303196057420489 767:2.303196057420489 		không cần_thiết muốn nhanh đầu_tư sân_bay tàu_bay là nhanh có quốc_lộ 1 rồi bay gio xe chạy cũng rần_rần xây thêm phí
137 2 42:1.414973347970818 132:1.130333768495006 430:1.7075701760979363 486:1.6127838567197355 549:1.4708723014409653 647:1.6127838567197355 718:1.8303747668713632 768:2.303196057420489 769:2.303196057420489 770:2.303196057420489 771:2.0043213737826426 		đọc luật một hồi kết_quả chẳng hiểu là quyền_hạn được quy_định ntn nữa bó_tay
138 2 78:0.9700367618305746 549:1.4708723014409653 573:1.4708723014409653 606:2.0043213737826426 772:2.303196057420489 		quá rườm_rà và cực_kỳ khó hiểu 
139 2 773:2.303196057420489 		không ổn 
140 2 262:1.3222192947339193 278:1.2471545992518625 281:1.130333768495006 366:1.6127838567197355 697:1.8303747668713632 774:2.303196057420489 775:2.303196057420489 		thất_vọng ai sẽ là trục ở châu_á đây ?  
141 2 262:1.3222192947339193 697:1.8303747668713632 776:2.303196057420489 777:2.303196057420489 		tôi đã bảo rồi mà thất_vọng trum  
142 2 567:1.414973347970818 778:2.303196057420489 		thế_là thôi rồi
143 2 21:0.7967933569592355 49:1.0221729752029969 97:1.414973347970818 128:1.0221729752029969 145:1.5357159539010243 337:1.5357159539010243 779:1.4708723014409653 780:2.0043213737826426 781:2.0043213737826426 782:2.303196057420489 783:2.303196057420489 		em phản_đối hôn_nhân đồng_tính vì nó đi ngược_lại cái tạo_hóa đã tạo ra cho mỗi người 
144 2 21:0.7967933569592355 33:2.0043213737826426 39:1.3222192947339193 49:1.0221729752029969 50:1.6127838567197355 67:1.4708723014409653 91:1.2144362394649855 103:2.0043213737826426 122:1.3222192947339193 127:1.4708723014409653 136:1.1060108048356843 197:1.3659037608181215 211:1.0831839733021977 253:1.6127838567197355 258:2.0043213737826426 261:1.6127838567197355 270:1.7075701760979363 277:1.3659037608181215 281:1.130333768495006 301:2.0043213737826426 317:1.3659037608181215 323:1.8303747668713632 452:1.7075701760979363 567:1.414973347970818 608:1.8303747668713632 779:1.4708723014409653 780:2.0043213737826426 781:2.0043213737826426 785:2.303196057420489 786:2.0043213737826426 787:2.0043213737826426 788:2.303196057420489 789:2.303196057420489 790:2.303196057420489 791:2.0043213737826426 792:2.303196057420489 793:2.303196057420489 794:2.303196057420489 795:2.0043213737826426 796:2.303196057420489 797:2.303196057420489 798:2.303196057420489 799:2.303196057420489 800:2.303196057420489 801:2.303196057420489 802:2.0043213737826426 803:2.303196057420489 804:2.303196057420489 805:2.303196057420489 806:2.303196057420489 807:2.303196057420489 808:2.303196057420489 809:2.303196057420489 810:2.303196057420489 811:2.303196057420489 812:2.303196057420489 813:2.303196057420489 814:2.303196057420489 815:2.303196057420489 816:2.303196057420489 817:2.303196057420489 818:2.303196057420489 819:2.303196057420489 821:2.303196057420489 822:2.303196057420489 823:2.303196057420489 824:2.303196057420489 		nếu phản_đối hôn_nhân đồng_tính tôi là người đầu_tiên làm_việc này thật_sự mà nói 100 người đồng_tính hiện_nay thì được bao_nhiêu người là bị đồng_tính từ nhỏ ? còn bao_nhiêu người là bị dụ_dỗ ? tôi khẳng_định là hơn 95 số người bị đồng_tính là bị dụ_dỗ nhiều người trẻ mới lớn còn bị lơ_mơ về giới_tính hay những người yếu bản_lĩnh bị dụ_dỗ và đã trả thành_đồng tính giới_tính thứ_ba đang gây rất nhiều bức_xúc cho xã_hội hiện_nay nếu_không lên_tiếng cản_ngăn rồi_đây khoảng 10 20 năm nữa thôi giới_tính thứ_ba sẽ chiếm tỉ_lệ rất lớn trong xã_hội chúng_ta mà những người đồng_tính nhiều nhất lại hoạt_động chủ_yếu trong giới nghệ_sĩ như ca_sĩ diễn_viên bọn họ rất dễ khiến cho giới trẻ lầm tưởng và noi theo chúng_ta phải chặn ngay_lập_tức hiện_tượng tệ_hại này 
145 2 83:2.0043213737826426 122:1.3222192947339193 779:1.4708723014409653 825:2.303196057420489 826:2.303196057420489 827:2.303196057420489 828:2.303196057420489 829:2.303196057420489 830:2.303196057420489 		tôi phản_đối nếu hợp_pháp_hoá thì sẽ ảnh_hưởng nghiêm_trọng đền sự tồn_vong của giống_nòi về sau_này 
146 2 831:2.303196057420489 832:2.303196057420489 		đang ảo_tưởng à 
147 2 13:1.6127838567197355 21:0.7967933569592355 49:1.0221729752029969 145:1.5357159539010243 247:1.8303747668713632 259:1.4708723014409653 310:1.3222192947339193 317:1.3659037608181215 486:1.6127838567197355 567:1.414973347970818 680:2.0043213737826426 802:2.0043213737826426 833:2.303196057420489 834:2.303196057420489 835:2.303196057420489 836:2.303196057420489 837:2.303196057420489 838:2.303196057420489 839:2.303196057420489 		cáu này cần phải tìm_hiểu cho kỹ nếu đã là bảo_vệ vệ thì bảo_vệ khỏi cái gì người bán_dâm có đồng_ý với cách này không nếu_không thì nó là bắt nhốt nói bảo_vệ chỉ là để lách luật thôi tôi không đồng_ý với cách này
148 2 211:1.0831839733021977 259:1.4708723014409653 		cách này không hay
149 2 42:1.414973347970818 49:1.0221729752029969 66:1.0616905101048648 76:1.3222192947339193 78:0.9700367618305746 112:1.3222192947339193 128:1.0221729752029969 145:1.5357159539010243 195:1.5357159539010243 259:1.4708723014409653 455:1.5357159539010243 499:2.0043213737826426 521:1.8303747668713632 543:1.6127838567197355 555:1.3659037608181215 589:1.7075701760979363 594:1.4708723014409653 725:1.7075701760979363 840:2.303196057420489 841:2.303196057420489 842:2.0043213737826426 843:2.303196057420489 844:2.303196057420489 845:2.303196057420489 846:2.303196057420489 847:2.303196057420489 848:1.7075701760979363 849:2.303196057420489 850:2.303196057420489 851:2.303196057420489 852:2.0043213737826426 		đọc song thấy buồn quá ước_mơ có được chiếc xe ô_tô của những người trung_lưu việt ngày_càng xa_vời mình dám chắc người đi ô_tô sẽ có cách nghĩ cách làm nhìn xa khác với người đi xe_máy và người đi xe_đạp cứ đà này thấy khả_năng phát_triển nó cứ mờ_mịt quá trời_ơi trời_ơi 
150 2 42:1.414973347970818 50:1.6127838567197355 74:2.0043213737826426 131:1.4708723014409653 189:1.7075701760979363 277:1.3659037608181215 303:2.0043213737826426 333:1.7075701760979363 416:1.5357159539010243 498:2.0043213737826426 555:1.3659037608181215 589:1.7075701760979363 643:1.5357159539010243 853:2.303196057420489 854:2.0043213737826426 855:2.303196057420489 856:2.303196057420489 857:2.303196057420489 858:2.303196057420489 859:2.303196057420489 860:2.303196057420489 861:2.0043213737826426 862:2.0043213737826426 863:2.303196057420489 865:2.303196057420489 		ấp_ủ bao năm cố gòng gánh mua 1 con xe tầm 400 trả_góp đọc xog bài báo thật_sự rất nản đến bao_giờ oto được xem như mua chiec xe_máy như bây_giờ thật_sự rất nản 
151 2 21:0.7967933569592355 542:1.8303747668713632 862:2.0043213737826426 866:2.303196057420489 867:2.303196057420489 		tin_buồn cho thị_trường oto nước_nhà 
152 2 49:1.0221729752029969 131:1.4708723014409653 195:1.5357159539010243 196:1.5357159539010243 366:1.6127838567197355 578:2.0043213737826426 594:1.4708723014409653 725:1.7075701760979363 842:2.0043213737826426 868:2.0043213737826426 869:2.303196057420489 		nghĩ tới việc mua được ô_tô ở việt _ nam mà buồn cả người haiz 
153 2 132:1.130333768495006 870:2.303196057420489 871:2.303196057420489 		một mớ hỗn_độn 
154 2 96:1.4708723014409653 122:1.3222192947339193 252:1.7075701760979363 302:1.6127838567197355 394:1.8303747668713632 404:1.7075701760979363 416:1.5357159539010243 872:1.2828897662136336 873:1.7075701760979363 874:1.4708723014409653 875:1.7075701760979363 876:2.303196057420489 877:2.303196057420489 878:2.303196057420489 879:2.0043213737826426 		sinh_viên hết được miễn giảm vé tàu_hỏa nghe mà nghẹn lòng xin_lỗi bố_mẹ đợt lễ này con không về 
155 2 21:0.7967933569592355 43:1.6127838567197355 112:1.3222192947339193 122:1.3222192947339193 128:1.0221729752029969 131:1.4708723014409653 136:1.1060108048356843 142:1.4708723014409653 168:2.0043213737826426 278:1.2471545992518625 281:1.130333768495006 302:1.6127838567197355 306:1.7075701760979363 423:1.5357159539010243 441:1.7075701760979363 447:1.4708723014409653 514:1.7075701760979363 590:1.3659037608181215 678:2.0043213737826426 681:1.7075701760979363 720:2.0043213737826426 848:1.7075701760979363 872:1.2828897662136336 874:1.4708723014409653 875:1.7075701760979363 880:1.8303747668713632 881:1.7075701760979363 882:2.303196057420489 883:1.8303747668713632 884:2.303196057420489 885:2.303196057420489 886:2.0043213737826426 887:1.4708723014409653 888:2.303196057420489 889:2.303196057420489 890:2.0043213737826426 		tại_sao sinh_viên không được miễn_giảm mua vé tàu_hỏa chứ mỗi khi về quê là mình thường đi tàu nhà không có điều_kiện nên vẫn mua vé tàu cho tiết_kiệm mà cũng đâu phải ít sinh_viên đâu bạn_bè mình quê xa khi được về nhà ai cũng mua nếu không_thể giảm nhiều xin hãy giảm ít giờ học_phí tăng cao kinh_khủng tiết_kiệm khoản này khoản kia để còn đóng học chứ ?
156 2 21:0.7967933569592355 97:1.414973347970818 136:1.1060108048356843 337:1.5357159539010243 438:1.2828897662136336 514:1.7075701760979363 706:1.6127838567197355 872:1.2828897662136336 891:2.303196057420489 892:2.303196057420489 893:2.0043213737826426 894:2.303196057420489 895:2.303196057420489 896:2.303196057420489 		thiết_nghĩ đời_sống sinh_viên của con_em nhà_nông còn vất_vả lắm sao lại không tạo điều_kiện cho các em ấy 
157 2 67:1.4708723014409653 594:1.4708723014409653 711:1.6127838567197355 872:1.2828897662136336 897:2.303196057420489 898:1.6127838567197355 		buồn vg là sinh_viên nghèo lại càng khổ hơn rồi 
158 2 49:1.0221729752029969 76:1.3222192947339193 91:1.2144362394649855 119:1.7075701760979363 136:1.1060108048356843 211:1.0831839733021977 284:1.6127838567197355 551:1.7075701760979363 745:1.7075701760979363 872:1.2828897662136336 880:1.8303747668713632 900:2.303196057420489 901:2.303196057420489 902:2.303196057420489 903:2.303196057420489 		tôi thấy vô_lý khi còn phân_loại khuyết_tật là khuyết_tật nặng mới được sinh_viên và người khuyết_tật là những đối_tượng hợp_lý để được miễn_giảm không nên sữa đổi điều này không hay 
159 2 312:1.8303747668713632 590:1.3659037608181215 872:1.2828897662136336 898:1.6127838567197355 		sinh_viên đã nghèo rồi mà giờ không được hỗ_trợ nữa 
160 2 122:1.3222192947339193 310:1.3222192947339193 874:1.4708723014409653 875:1.7075701760979363 		chuyện về vé tàu_hỏa là không đồng_ý
